gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.4255562837859197e+19,663.0767401794511,0.04400134086608887,28,[6629.664 6859.372 6618.872 6950.528 7172.044],[285.2284963  336.30323462 328.84787914 357.35056348 341.2475847 ],[5571. 5665. 5347. 5719. 5949.],[7386. 7472. 7281. 7735. 7902.]
1,250,2.4255562837859197e+19,636.5158026983139,0.23902010917663574,36,[6763.296 7028.708 6790.084 7115.852 7353.384],[225.46203313 223.88164448 227.33769803 238.57645755 217.68001411],[6053. 6334. 6211. 6452. 6481.],[7503. 7523. 7368. 7735. 7902.]
2,250,2.4255562837859197e+19,652.1585505071845,0.227020263671875,47,[6841.604 7126.084 6861.44  7208.544 7431.432],[229.49323124 218.39120162 207.6324021  226.49489192 218.18606137],[6304. 6630. 6276. 6469. 6725.],[7503. 7720. 7368. 7735. 7927.]
3,250,2.4255562837859197e+19,710.000776439232,0.18601489067077637,51,[6903.44  7195.552 6920.18  7288.952 7491.18 ],[230.08973554 207.94314438 216.5448397  227.10291433 209.18245529],[6304. 6614. 6301. 6545. 6725.],[7503. 7724. 7510. 7969. 8012.]
4,250,2.4255562837859197e+19,666.2424401384715,0.16601037979125977,62,[6966.06  7250.928 6972.212 7332.784 7537.66 ],[236.71331268 225.46757376 224.50856344 223.56860545 223.43084926],[6329. 6614. 6267. 6545. 6971.],[7632. 7898. 7510. 7969. 8036.]
5,250,2.4255562837859197e+19,612.6753072296966,0.19901823997497559,71,[7018.036 7305.884 7028.072 7369.072 7584.604],[228.84580552 235.02916956 215.84482115 230.92085834 224.9726543 ],[6396. 6614. 6366. 6545. 7001.],[7632. 7898. 7650. 8032. 8201.]
6,250,2.4255562837859197e+19,627.3746800058649,0.18901395797729492,95,[7063.712 7361.8   7061.672 7388.748 7633.124],[229.64997073 231.55934013 219.32327833 242.01506667 218.15292944],[6490. 6614. 6490. 6545. 7108.],[7632. 7898. 7650. 8075. 8201.]
7,250,2.4255562837859197e+19,637.1128859164006,0.18201375007629395,112,[7097.36  7411.432 7104.38  7410.796 7664.92 ],[223.36615321 212.13268814 222.47819579 246.54546515 213.94642694],[6490. 6698. 6490. 6831. 7108.],[7632. 7898. 7778. 8075. 8247.]
8,250,2.4255562837859197e+19,643.1887354034437,0.16901230812072754,66,[7136.152 7435.072 7127.34  7440.22  7699.576],[234.61140828 217.04794589 230.19016573 253.36570328 227.68646034],[6490. 6868. 6490. 6782. 7037.],[7678. 7946. 7778. 8089. 8256.]
9,250,2.4255562837859197e+19,636.6039574405944,0.16001176834106445,82,[7162.244 7473.328 7160.84  7478.116 7728.752],[226.40556633 222.57695392 231.20361243 255.19026342 224.75021356],[6490. 6868. 6490. 6838. 7132.],[7678. 7991. 7778. 8135. 8290.]
10,250,3.172766145336159e+19,646.3669840279473,0.17501473426818848,91,[7194.704 7509.188 7193.788 7498.884 7748.348],[214.53753141 223.27339442 226.45308356 266.52625864 228.77320406],[6490. 6868. 6490. 6614. 7132.],[7710. 8016. 7778. 8135. 8290.]
11,250,3.172766145336159e+19,660.5265199635244,0.1700119972229004,80,[7220.492 7536.592 7217.84  7523.704 7769.724],[219.28451367 214.7787921  216.16458174 260.12054203 237.81919145],[6490. 6909. 6629. 6614. 7080.],[7772. 8016. 7778. 8135. 8337.]
12,250,3.172766145336159e+19,703.3173664473074,0.20403623580932617,84,[7237.696 7568.488 7234.876 7569.992 7779.372],[213.75672992 224.91712664 219.52045149 262.45645722 234.40435494],[6490. 6909. 6629. 6614. 7080.],[7772. 8245. 7778. 8377. 8337.]
13,250,3.172766145336159e+19,692.0384146582456,0.2070162296295166,108,[7248.472 7597.18  7245.032 7611.26  7803.176],[213.8972679  239.48944778 222.96306191 257.33104049 228.78748441],[6490. 6909. 6629. 6857. 7132.],[7772. 8245. 7778. 8377. 8337.]
14,250,3.172766145336159e+19,716.9410898243652,0.19101214408874512,101,[7254.336 7644.66  7249.28  7633.788 7838.784],[215.0241826  241.67200996 217.84875855 267.07582267 223.04143414],[6542. 7012. 6714. 6857. 7289.],[7772. 8245. 7778. 8377. 8337.]
15,250,3.172766145336159e+19,724.169846131319,0.2069993019104004,112,[7266.396 7699.968 7281.22  7654.332 7859.34 ],[229.41736461 228.46641542 208.79974042 254.94301672 221.43663744],[6542. 7012. 6748. 6857. 7346.],[7778. 8245. 7778. 8377. 8374.]
16,250,3.172766145336159e+19,712.5283287723905,0.22899603843688965,121,[7288.284 7726.488 7306.996 7687.42  7892.748],[229.57179998 229.83075916 209.75962429 258.47111173 217.89884923],[6678. 7073. 6748. 7022. 7347.],[7778. 8245. 7820. 8377. 8374.]
17,250,3.172766145336159e+19,717.4033243650393,0.17102956771850586,129,[7300.988 7757.564 7318.512 7718.596 7918.808],[239.7163404  223.25140516 205.57105306 254.99408774 207.10521755],[6678. 7152. 6618. 7022. 7391.],[7844. 8245. 7820. 8377. 8414.]
18,250,3.172766145336159e+19,691.0324231227075,0.2620246410369873,124,[7324.404 7772.784 7351.116 7766.36  7921.724],[242.77182865 222.43863276 196.39763375 249.25689238 213.70710757],[6749. 7184. 6618. 7022. 7391.],[7917. 8266. 7820. 8377. 8414.]
19,250,3.172766145336159e+19,678.2809305763412,0.19703316688537598,105,[7353.192 7817.108 7354.024 7786.768 7927.068],[239.83920267 211.0584382  195.55762175 256.85627533 221.7394493 ],[6737. 7237. 6875. 7067. 7391.],[7917. 8266. 7820. 8377. 8414.]
20,250,3.6156804487897117e+19,690.0509484212106,0.16599750518798828,112,[7406.424 7848.332 7352.4   7822.348 7941.336],[231.9967677  206.25197642 203.12630553 253.16224619 215.33075745],[6737. 7237. 6875. 7067. 7389.],[7917. 8394. 7884. 8377. 8414.]
21,250,3.6156804487897117e+19,678.8284974833754,0.2052745819091797,110,[7434.828 7878.88  7368.208 7837.32  7971.692],[231.55988948 216.24506838 212.83771455 254.18203241 222.13420524],[6749. 7237. 6875. 7067. 7389.],[8039. 8394. 7884. 8377. 8452.]
22,250,3.6156804487897117e+19,689.7261585672123,0.2090151309967041,108,[7444.984 7913.676 7387.924 7864.52  7989.084],[228.0378384  208.31113994 208.28654835 246.27776514 215.3160211 ],[6749. 7237. 6849. 7189. 7389.],[8039. 8540. 7884. 8377. 8472.]
23,250,3.6156804487897117e+19,689.3399272313965,0.2070322036743164,131,[7462.94  7926.624 7425.804 7891.732 7996.432],[225.92405892 218.56055139 200.13542811 245.7102769  210.37818655],[6749. 7237. 6932. 7189. 7389.],[8039. 8644. 7884. 8377. 8472.]
24,250,3.6156804487897117e+19,689.9920480035329,0.216017484664917,119,[7490.976 7951.796 7443.52  7921.092 8007.74 ],[223.05218991 212.75526406 200.10905427 239.37009741 209.04493393],[6848. 7310. 6932. 7289. 7475.],[8039. 8644. 7884. 8377. 8472.]
25,250,3.6156804487897117e+19,691.984859216405,0.21299433708190918,114,[7533.268 7987.896 7440.612 7928.648 8023.152],[211.82814774 213.41095844 202.8062461  237.98189027 206.49006004],[6856. 7310. 6886. 7289. 7475.],[8066. 8644. 7884. 8377. 8489.]
26,250,3.6156804487897117e+19,700.7618734643758,0.15046429634094238,108,[7550.808 8022.488 7448.548 7954.74  8042.656],[217.45707424 204.7451339  214.93416596 235.49304958 200.54825271],[6993. 7475. 6888. 7289. 7539.],[8066. 8644. 7951. 8419. 8489.]
27,250,3.6156804487897117e+19,703.9256424520619,0.21600127220153809,109,[7580.5   8030.932 7458.308 7959.524 8070.024],[222.41408678 219.09785799 223.64666136 238.70303187 203.59880015],[6993. 7358. 6888. 7289. 7539.],[8066. 8644. 8038. 8419. 8507.]
28,250,3.6156804487897117e+19,701.3143225586372,0.17502975463867188,113,[7599.064 8035.792 7475.012 7960.    8090.192],[225.07313457 224.91396741 222.936143   231.80079379 197.23661713],[6993. 7358. 6938. 7363. 7539.],[8066. 8657. 8038. 8419. 8507.]
29,250,3.6156804487897117e+19,695.2839493205529,0.26653051376342773,121,[7616.404 8051.228 7486.84  7963.76  8100.296],[221.05179661 233.43499313 220.96705275 232.51115758 191.69855603],[6993. 7276. 6938. 7339. 7539.],[8066. 8657. 8038. 8506. 8507.]
30,250,3.992682265929109e+19,692.9181498335437,0.27101683616638184,122,[7621.532 8076.608 7499.98  7990.428 8109.144],[212.55371316 227.53211276 213.31200529 224.99748624 187.04400355],[6993. 7276. 6938. 7339. 7539.],[8066. 8657. 8038. 8506. 8507.]
31,250,3.992682265929109e+19,696.6374310071163,0.2220168113708496,126,[7638.824 8086.068 7507.532 8002.384 8113.02 ],[212.00594573 227.22080753 218.29138548 225.89387894 181.86842387],[6993. 7358. 6938. 7382. 7602.],[8066. 8657. 8038. 8506. 8507.]
32,250,3.992682265929109e+19,710.5626446338695,0.16901445388793945,118,[7648.724 8109.548 7509.588 8018.432 8125.792],[211.62491305 224.12573189 217.82193245 223.12637983 182.40481555],[6993. 7358. 6938. 7382. 7602.],[8168. 8657. 8038. 8506. 8507.]
33,250,3.992682265929109e+19,704.6144876454525,0.20603179931640625,134,[7654.704 8123.076 7512.072 8031.    8125.612],[211.36090552 223.415931   215.09691494 219.75943211 184.05059483],[6975. 7358. 6938. 7382. 7602.],[8168. 8657. 8038. 8506. 8612.]
34,250,3.992682265929109e+19,697.8025503278775,0.2550241947174072,124,[7655.34  8145.672 7525.584 8040.804 8125.272],[210.53611662 214.10336853 212.96516838 216.94503816 187.1030679 ],[6975. 7358. 6938. 7382. 7602.],[8168. 8657. 8038. 8506. 8612.]
35,250,3.992682265929109e+19,681.4892420165887,0.20201492309570312,126,[7659.988 8160.024 7551.884 8060.208 8136.664],[199.72792458 216.58618475 212.36893969 220.89604056 185.56777496],[6975. 7358. 7009. 7430. 7602.],[8168. 8657. 8038. 8579. 8619.]
36,250,3.992682265929109e+19,679.1102038119917,0.2330150604248047,141,[7669.34  8182.404 7578.028 8065.48  8146.884],[193.40384795 213.39855853 200.189778   220.29239115 175.10723156],[7169. 7358. 7013. 7430. 7602.],[8168. 8657. 8038. 8579. 8619.]
37,250,3.992682265929109e+19,681.3754703527358,0.19003033638000488,158,[7675.388 8211.972 7596.572 8088.304 8155.596],[187.04867136 191.21753899 186.30264844 204.04512144 176.51565592],[7169. 7529. 7020. 7465. 7667.],[8228. 8657. 8038. 8584. 8619.]
