gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.2541778408035115e+19,723.2297034823707,0.04300284385681152,15,[6732.508 6760.396 6725.872 6741.836 6158.148],[336.89850391 342.94220969 351.88375299 324.39400904 305.74907047],[5504. 5371. 5450. 5632. 5326.],[7667. 7489. 7549. 7587. 6960.]
1,250,2.2541778408035115e+19,678.9700045706438,0.16501259803771973,20,[6937.808 6960.36  6926.9   6925.956 6348.548],[235.80389127 228.92941794 230.66327406 221.92532542 221.56429247],[6259. 6344. 6038. 6234. 5676.],[7667. 7603. 7549. 7587. 6960.]
2,250,2.2541778408035115e+19,665.8320154031703,0.20201468467712402,29,[7041.072 7065.104 7027.268 7012.564 6442.592],[220.90186694 205.63779123 216.90251307 217.01980993 205.89582205],[6382. 6464. 6488. 6486. 5882.],[7667. 7603. 7549. 7587. 6982.]
3,250,2.2541778408035115e+19,670.4943349225925,0.1630113124847412,22,[7124.372 7143.612 7113.568 7099.752 6514.736],[234.44694414 206.83138412 209.67696434 215.93764493 205.40543884],[6382. 6457. 6523. 6545. 5930.],[7716. 7622. 7549. 7654. 6988.]
4,250,2.2541778408035115e+19,729.0827310122409,0.17701220512390137,27,[7209.044 7205.568 7176.176 7192.596 6581.208],[231.70006919 232.19828892 207.43242038 213.64642001 203.13775803],[6538. 6268. 6523. 6633. 6003.],[7742. 7867. 7576. 7752. 7041.]
5,250,2.2541778408035115e+19,669.1974785278986,0.1720125675201416,41,[7303.768 7270.936 7233.14  7269.116 6662.68 ],[207.45334458 234.52570841 213.78001871 216.06095099 206.57568492],[6690. 6508. 6627. 6637. 6083.],[7793. 7867. 7865. 7874. 7218.]
6,250,2.2541778408035115e+19,661.9830101134404,0.16001224517822266,61,[7383.472 7354.48  7302.316 7351.788 6747.34 ],[196.03406137 223.95514194 211.61190927 217.48491225 202.05787389],[6766. 6720. 6627. 6697. 6083.],[7864. 7867. 7865. 7971. 7385.]
7,250,2.2541778408035115e+19,656.4836916083058,0.21735167503356934,56,[7436.384 7420.812 7358.908 7406.668 6795.3  ],[196.17882797 197.46898657 184.20776188 211.32030138 195.0337458 ],[6773. 6825. 6873. 6790. 6293.],[7974. 7879. 7865. 7982. 7385.]
8,250,2.2541778408035115e+19,639.1588933171639,0.30202293395996094,65,[7479.568 7470.92  7396.952 7473.416 6856.832],[196.58568965 199.89653724 194.12869364 212.07569154 205.56395544],[6773. 6825. 6873. 6875. 6301.],[7974. 7901. 7865. 8071. 7385.]
9,250,2.2541778408035115e+19,649.9969301863504,0.2530186176300049,79,[7496.3   7515.74  7425.188 7524.292 6911.772],[192.7577599  182.38526366 203.92592934 223.2971624  200.47894657],[6947. 7047. 6931. 6844. 6301.],[7974. 7901. 7865. 8103. 7385.]
10,250,2.9830960652123517e+19,639.216781266254,0.14700984954833984,88,[7524.144 7554.96  7461.088 7586.8   6963.632],[198.37395813 181.75671212 195.25573041 216.35029004 197.09204087],[6931. 7058. 6945. 6862. 6301.],[7987. 7985. 7865. 8103. 7413.]
