gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.203239026750162e+19,897.1128448832197,0.05402255058288574,23,[6030.704 6594.044 6754.196 7031.832 6525.248],[329.32474001 367.46167428 365.00513638 387.36567191 372.00292807],[4794. 5255. 5449. 5417. 5181.],[6729. 7467. 7504. 8007. 7415.]
1,250,2.203239026750162e+19,878.6412066263299,0.25401878356933594,25,[6216.988 6816.924 6968.588 7264.904 6757.924],[202.76740334 229.98700447 205.72288705 243.83402302 237.84858676],[5651. 6063. 6398. 6646. 6152.],[6918. 7467. 7504. 8007. 7415.]
2,250,2.203239026750162e+19,882.1552152970453,0.23001694679260254,37,[6285.708 6912.608 7034.144 7359.028 6872.188],[198.79786401 229.0687546  201.73077917 227.50038949 222.63149969],[5587. 6202. 6480. 6646. 6251.],[6918. 7467. 7522. 8140. 7415.]
3,250,2.203239026750162e+19,859.2875484898626,0.1810314655303955,45,[6344.992 6995.592 7092.036 7414.452 6934.848],[200.35819907 209.77079286 199.54017817 230.12061119 236.3354584 ],[5761. 6417. 6458. 6819. 6334.],[6947. 7499. 7522. 8140. 7458.]
4,250,2.203239026750162e+19,850.6098302479028,0.19499468803405762,39,[6416.784 7068.596 7129.38  7488.648 7005.276],[195.66416469 232.97411183 207.50285685 204.26242948 233.81064096],[5921. 6417. 6261. 6887. 6376.],[6982. 7700. 7558. 8140. 7498.]
5,250,2.203239026750162e+19,847.2908165701823,0.17505478858947754,47,[6456.132 7117.904 7190.436 7527.312 7065.832],[205.82321195 230.45622314 203.55173766 214.02636907 224.59797812],[5921. 6417. 6458. 6887. 6385.],[6982. 7700. 7579. 8140. 7602.]
6,250,2.203239026750162e+19,943.9051661436616,0.18901300430297852,24,[6511.572 7167.976 7237.736 7577.828 7136.688],[202.48651515 218.45689603 208.61442497 222.22834746 220.78456163],[5921. 6553. 6680. 6915. 6601.],[7024. 7700. 7774. 8140. 7671.]
7,250,2.203239026750162e+19,883.4469916172486,0.1830158233642578,35,[6571.912 7219.416 7282.596 7612.044 7195.412],[195.51871587 213.10769799 207.58801696 223.10199027 218.62659092],[5948. 6633. 6749. 6915. 6606.],[7024. 7889. 7788. 8140. 7671.]
8,250,2.203239026750162e+19,881.2692657473751,0.16901326179504395,43,[6616.328 7256.532 7318.58  7667.032 7249.188],[191.19551359 212.03654632 213.18634947 217.86797602 223.64856507],[6040. 6656. 6749. 6915. 6606.],[7246. 7889. 7788. 8140. 7671.]
9,250,2.203239026750162e+19,864.0490912793886,0.20250821113586426,60,[6653.472 7306.272 7362.304 7709.58  7304.784],[199.34276314 222.34443104 200.84076176 207.84527803 223.79805483],[5993. 6656. 6766. 6915. 6722.],[7288. 7889. 7788. 8258. 7824.]
10,250,2.9301033103900266e+19,846.1192676783893,0.18701386451721191,43,[6704.992 7341.5   7411.828 7743.968 7359.252],[187.79507964 227.50249669 207.32677207 222.61406734 218.31869479],[6280. 6656. 6793. 6915. 6762.],[7288. 7889. 7929. 8276. 7954.]
11,250,2.9301033103900266e+19,825.8572984019854,0.2440049648284912,51,[6739.144 7378.372 7455.456 7779.184 7394.86 ],[185.38542355 218.63421877 210.46134102 221.40915551 210.00603896],[6330. 6834. 6793. 6915. 6762.],[7288. 7909. 7929. 8276. 7954.]
12,250,2.9301033103900266e+19,847.3545988746595,0.24501729011535645,63,[6768.296 7407.696 7497.228 7817.42  7432.42 ],[188.95309572 212.36631462 203.16659178 209.15157088 205.31288221],[6356. 6834. 6866. 7158. 6920.],[7288. 7909. 7944. 8276. 7954.]
13,250,2.9301033103900266e+19,890.5470949612062,0.19305872917175293,68,[6812.188 7417.432 7549.116 7848.604 7447.624],[187.96350884 222.42224119 204.05247988 203.21094258 217.88850962],[6221. 6827. 6866. 7158. 6920.],[7288. 7909. 8083. 8294. 8029.]
14,250,2.9301033103900266e+19,856.011182230365,0.17101287841796875,69,[6855.296 7446.176 7577.12  7899.38  7482.96 ],[178.42049317 219.02862147 197.92960769 196.58393525 214.40176865],[6375. 6834. 6866. 7158. 6939.],[7308. 7919. 8083. 8393. 8029.]
15,250,2.9301033103900266e+19,844.2504325232853,0.17101311683654785,83,[6886.024 7484.432 7613.196 7915.    7508.472],[193.06784151 222.44387467 192.45740719 196.31038689 225.76348955],[6375. 6834. 6866. 7158. 6738.],[7351. 7922. 8083. 8393. 8029.]
16,250,2.9301033103900266e+19,820.5730465257705,0.1866137981414795,101,[6926.668 7501.272 7639.664 7929.708 7530.996],[190.9281063  231.34591852 191.26799812 191.14749995 223.11526166],[6496. 6834. 6866. 7158. 6738.],[7351. 7942. 8107. 8393. 8029.]
17,250,2.9301033103900266e+19,801.9199672132628,0.1766357421875,112,[6959.528 7529.012 7659.664 7950.416 7565.644],[191.94762102 229.69728744 193.53734292 181.06876855 202.97059212],[6496. 6860. 7015. 7455. 6951.],[7351. 8034. 8107. 8393. 8029.]
18,250,2.9301033103900266e+19,835.3868848694864,0.19099640846252441,85,[6977.672 7537.992 7698.36  7979.044 7589.136],[202.23593255 227.69867794 186.7424708  178.6810848  200.19362004],[6496. 6860. 7136. 7466. 6957.],[7500. 8097. 8150. 8393. 8029.]
19,250,2.9301033103900266e+19,845.0294521208277,0.17801165580749512,103,[6992.428 7562.14  7727.244 8007.008 7616.48 ],[199.26116736 224.33564229 182.38300487 177.31039433 204.61018938],[6528. 6937. 7136. 7559. 6957.],[7500. 8097. 8150. 8418. 8029.]
20,250,3.3227785341935714e+19,829.9580245643234,0.25601863861083984,74,[7014.536 7575.608 7753.796 8007.744 7639.664],[200.88078232 228.79838797 189.39092477 189.02418487 203.74868614],[6528. 6937. 7135. 7474. 6957.],[7529. 8097. 8150. 8418. 8032.]
21,250,3.3227785341935714e+19,817.3420651861278,0.20447158813476562,92,[7028.308 7616.868 7770.524 8038.22  7670.548],[196.23788914 223.6784893  185.82695559 177.14596129 195.94515482],[6574. 6937. 7211. 7571. 6957.],[7538. 8097. 8216. 8418. 8087.]
22,250,3.3227785341935714e+19,785.7200288668771,0.20001482963562012,100,[7059.88  7639.54  7787.832 8064.636 7713.208],[195.15874974 219.42060159 184.59268614 177.63769731 184.40374382],[6618. 6937. 7260. 7571. 6957.],[7538. 8208. 8238. 8441. 8127.]
23,250,3.3227785341935714e+19,780.1685747700235,0.1850574016571045,108,[7098.516 7653.664 7811.684 8084.18  7732.04 ],[188.78506759 212.63442596 177.88495199 168.41312182 180.52305781],[6653. 6963. 7282. 7662. 6957.],[7538. 8208. 8238. 8501. 8134.]
24,250,3.3227785341935714e+19,776.2407870628376,0.1980137825012207,118,[7143.288 7664.26  7825.472 8102.94  7753.164],[185.2224097  213.43870408 168.69779256 169.73911865 181.18470439],[6676. 6963. 7377. 7662. 6957.],[7601. 8208. 8291. 8597. 8134.]
25,250,3.3227785341935714e+19,805.2775954577694,0.17801356315612793,97,[7158.744 7683.048 7834.06  8119.312 7783.408],[184.88778885 211.01203211 170.85165612 179.06076805 174.98948979],[6676. 7075. 7377. 7662. 6957.],[7661. 8208. 8291. 8597. 8134.]
