gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,1.8941152344349565e+19,909.1879648897979,0.08501100540161133,24,[6772.54  6758.628 6386.072 5826.656 6594.42 ],[321.49488394 325.61427735 343.92936893 281.51876965 305.14301499],[5539. 5607. 5314. 4894. 5469.],[7512. 7416. 7290. 6425. 7396.]
1,250,1.8941152344349565e+19,897.5962104435237,0.22301673889160156,27,[6944.78  6918.532 6558.084 5967.02  6767.056],[227.69596307 239.53231301 243.38949226 214.11308134 205.9006869 ],[6082. 6208. 5949. 5216. 6226.],[7512. 7442. 7290. 6765. 7396.]
2,250,1.8941152344349565e+19,855.8911374797126,0.23700356483459473,18,[7020.744 7008.692 6654.524 6065.752 6822.36 ],[218.31541967 221.55878032 230.74769213 192.99476287 214.19424455],[6463. 6254. 6060. 5416. 6103.],[7513. 7576. 7290. 6765. 7396.]
3,250,1.8941152344349565e+19,842.1799546665857,0.22403311729431152,30,[7092.332 7076.456 6723.164 6116.464 6877.204],[219.75473095 233.0356369  230.7673311  203.39693386 216.69806271],[6370. 6254. 6124. 5416. 6103.],[7800. 7692. 7290. 6765. 7474.]
4,250,1.8941152344349565e+19,901.2065034469842,0.21103668212890625,36,[7134.584 7136.632 6812.592 6162.66  6931.304],[227.45681556 221.66818576 230.03134033 203.34431981 222.11224996],[6418. 6549. 6178. 5467. 6103.],[7822. 7710. 7430. 6765. 7513.]
5,250,1.8941152344349565e+19,918.9108132436653,0.23901772499084473,56,[7197.34  7206.06  6875.596 6198.9   6998.404],[218.8277688  224.28469497 229.1678005  206.13052661 210.20219025],[6418. 6598. 6238. 5693. 6254.],[7822. 7975. 7430. 6765. 7528.]
6,250,1.8941152344349565e+19,927.9878803139095,0.1719965934753418,57,[7258.372 7267.368 6943.084 6240.936 7042.812],[217.80378696 223.60270252 225.66282136 207.71521828 205.87648884],[6418. 6598. 6238. 5727. 6434.],[7822. 7975. 7430. 6765. 7528.]
7,250,1.8941152344349565e+19,959.4695602694027,0.1700124740600586,62,[7299.472 7319.836 6982.052 6277.332 7087.04 ],[236.15168264 229.61226688 228.54640075 213.32273619 221.36866626],[6418. 6743. 6299. 5727. 6469.],[7904. 7975. 7596. 6797. 7659.]
8,250,1.8941152344349565e+19,973.8218495583021,0.19003558158874512,56,[7329.504 7375.096 7033.272 6332.024 7121.212],[235.72411413 234.11789932 217.95235722 205.12975265 222.16420741],[6418. 6781. 6444. 5772. 6483.],[7904. 7975. 7596. 6801. 7659.]
9,250,1.8941152344349565e+19,961.0939334872745,0.21303558349609375,79,[7356.976 7420.    7077.6   6380.8   7141.896],[223.81300995 233.45038017 216.98842365 187.28995702 219.05050829],[6767. 6626. 6550. 5838. 6483.],[7919. 7975. 7596. 6817. 7659.]
10,250,2.4911619534542897e+19,926.3372110514241,0.17838239669799805,93,[7402.212 7445.668 7106.472 6412.864 7155.26 ],[218.04058121 241.05778099 218.94651679 179.16704358 228.66852954],[6767. 6626. 6550. 5925. 6483.],[7947. 7975. 7642. 6817. 7659.]
11,250,2.4911619534542897e+19,912.9234694442391,0.16201162338256836,110,[7433.34  7475.388 7131.644 6445.668 7179.152],[211.15016552 252.03802383 222.21650088 181.81691279 212.09009618],[6767. 6626. 6550. 5911. 6620.],[7947. 8062. 7642. 6844. 7659.]
12,250,2.4911619534542897e+19,930.9719450229856,0.21701812744140625,89,[7455.896 7494.984 7164.212 6466.372 7214.496],[211.45050765 263.51435586 228.90556799 191.73926467 207.99963938],[6767. 6626. 6550. 5911. 6620.],[7947. 8062. 7732. 6901. 7659.]
13,250,2.4911619534542897e+19,928.2742906866064,0.23502087593078613,95,[7467.624 7538.328 7187.216 6504.092 7249.312],[201.04624996 255.21046298 223.74841529 181.1069395  200.11226513],[7017. 6811. 6550. 5964. 6676.],[7954. 8093. 7732. 6901. 7659.]
14,250,2.4911619534542897e+19,932.8139779089234,0.20603179931640625,87,[7482.54  7570.224 7225.152 6524.092 7281.42 ],[201.0308444  243.71108679 221.68785464 184.56956286 185.79363714],[6969. 6962. 6550. 6031. 6700.],[7954. 8107. 7778. 6956. 7664.]
15,250,2.4911619534542897e+19,947.4989505526414,0.20299816131591797,99,[7494.6   7592.6   7252.956 6548.784 7296.128],[214.74313959 249.58560856 216.81312244 188.57005421 193.04283363],[6763. 6850. 6550. 6031. 6712.],[7954. 8135. 7778. 7040. 7734.]
16,250,2.4911619534542897e+19,938.9208303627362,0.18603062629699707,93,[7529.34  7615.948 7299.528 6563.28  7325.088],[204.77025272 261.53019194 217.2177553  188.23596256 194.57720384],[6972. 6850. 6550. 6021. 6811.],[7954. 8181. 7780. 7040. 7783.]
17,250,2.4911619534542897e+19,941.0257027085672,0.19301319122314453,91,[7567.9   7641.016 7325.14  6588.436 7345.064],[203.63302777 240.67380361 211.65065651 185.97833719 184.87317789],[6934. 7031. 6550. 6031. 6843.],[7954. 8181. 7817. 7070. 7783.]
18,250,2.4911619534542897e+19,941.0202878798264,0.25100111961364746,97,[7594.612 7637.72  7352.26  6604.08  7373.044],[197.40820007 248.04482176 217.08954926 183.07341041 183.73019911],[7024. 6981. 6679. 6031. 6843.],[7954. 8181. 7817. 7070. 7816.]
19,250,2.4911619534542897e+19,888.9092708212439,0.18601131439208984,86,[7614.156 7644.084 7376.372 6625.392 7406.48 ],[203.37485504 253.43085239 215.94336669 178.61591848 179.92594477],[7024. 6981. 6681. 6116. 6848.],[8119. 8181. 7817. 7070. 7816.]
20,250,2.872069333029956e+19,896.7785694139101,0.17301177978515625,104,[7634.548 7664.708 7404.492 6638.676 7418.996],[199.1865048  247.58364796 207.5793678  176.08269371 178.95421756],[7024. 6987. 6681. 6153. 6936.],[8119. 8181. 7878. 7143. 7816.]
21,250,2.872069333029956e+19,930.3948527278573,0.209014892578125,103,[7670.192 7698.62  7412.964 6651.312 7431.72 ],[197.21426707 235.95835989 209.69399301 179.90901772 183.89632296],[7024. 7080. 6681. 6172. 6936.],[8119. 8181. 7878. 7143. 7861.]
22,250,2.872069333029956e+19,911.854247686605,0.19701504707336426,113,[7672.456 7712.144 7431.048 6675.324 7441.572],[205.16847727 235.02228674 195.54428065 184.65653258 181.5266945 ],[7192. 7080. 6856. 6172. 6948.],[8222. 8181. 7878. 7143. 7861.]
23,250,2.872069333029956e+19,920.0119054306797,0.17599701881408691,86,[7682.228 7712.82  7435.28  6687.268 7471.732],[205.39552092 242.98540615 201.59583726 188.40381147 174.57034163],[7192. 7080. 6856. 6172. 6948.],[8222. 8181. 7924. 7143. 7861.]
24,250,2.872069333029956e+19,906.6199307721186,0.18201375007629395,102,[7693.9   7726.964 7442.572 6704.084 7490.584],[202.2238611  244.79685191 203.36000791 186.39971283 178.31191476],[7192. 7080. 6929. 6172. 6948.],[8222. 8181. 7924. 7143. 7882.]
25,250,2.872069333029956e+19,894.8277936435902,0.2590205669403076,110,[7703.4   7750.096 7459.    6722.188 7509.208],[196.11984091 237.43670901 202.45957621 186.2148669  179.15607926],[7192. 7080. 6929. 6172. 6948.],[8222. 8274. 7924. 7143. 7914.]
26,250,2.872069333029956e+19,900.6625423026132,0.18403291702270508,111,[7732.436 7758.624 7472.288 6743.188 7531.544],[192.98264664 232.63714799 200.14735835 176.79045409 177.16392427],[7192. 7080. 6929. 6172. 7052.],[8222. 8274. 7943. 7143. 7919.]
27,250,2.872069333029956e+19,898.3709866193303,0.17999744415283203,125,[7741.512 7776.38  7476.856 6759.148 7541.4  ],[195.57773354 231.58556864 201.78815442 179.13873421 180.45646566],[7192. 7068. 6990. 6172. 7052.],[8222. 8274. 7943. 7143. 7919.]
28,250,2.872069333029956e+19,892.9202911226555,0.24201679229736328,135,[7763.944 7804.816 7490.84  6778.78  7551.088],[186.11902875 221.52765548 199.25530959 169.62281568 177.08538126],[7192. 7068. 6862. 6172. 7052.],[8222. 8274. 7943. 7143. 7919.]
29,250,2.872069333029956e+19,886.4223399509369,0.23201823234558105,150,[7770.968 7825.86  7499.34  6788.804 7567.848],[186.48060214 209.73867645 199.93116916 179.53434653 178.1111139 ],[7160. 7225. 6868. 6172. 7052.],[8222. 8274. 7943. 7161. 7971.]
30,250,3.0503068761824096e+19,914.4974932840731,0.32402491569519043,143,[7791.872 7834.064 7529.452 6793.572 7569.788],[187.2466171  203.79967592 199.62106025 181.29762496 179.48111615],[7160. 7225. 6868. 6172. 7052.],[8229. 8274. 7943. 7161. 7971.]
31,250,3.0503068761824096e+19,918.2929198087302,0.2039172649383545,158,[7790.18  7853.044 7536.608 6811.368 7581.6  ],[184.99609618 206.80698746 198.51286693 180.65357062 172.65681568],[7160. 7152. 6970. 6172. 7052.],[8229. 8368. 7943. 7166. 7971.]
32,250,3.0503068761824096e+19,921.0783303869165,0.1590123176574707,165,[7798.6   7868.296 7543.076 6816.392 7587.184],[181.07379711 198.16157141 200.31744363 179.87288383 171.45377845],[7160. 7225. 6970. 6172. 7052.],[8229. 8368. 7958. 7166. 7971.]
33,250,3.0503068761824096e+19,918.2116919159373,0.1740126609802246,168,[7814.144 7883.508 7547.904 6823.084 7594.52 ],[180.40544134 195.85098911 199.43395595 168.97449791 175.96286426],[7160. 7364. 6970. 6295. 7052.],[8241. 8368. 7974. 7166. 7971.]
34,250,3.0503068761824096e+19,932.2465757964587,0.15501117706298828,168,[7837.356 7887.944 7559.632 6818.9   7605.952],[174.39148277 195.82585341 197.99565797 176.28833767 173.61326475],[7392. 7364. 6970. 6295. 7120.],[8253. 8368. 7974. 7234. 7971.]
35,250,3.0503068761824096e+19,928.1704736980831,0.20005393028259277,168,[7838.948 7885.712 7591.32  6818.48  7620.488],[177.45758168 201.92177955 187.47806698 175.88580841 171.19393055],[7392. 7364. 6970. 6295. 7120.],[8253. 8368. 7974. 7234. 7971.]
36,250,3.0503068761824096e+19,922.0346356174168,0.1740128993988037,183,[7847.752 7898.956 7600.18  6834.912 7632.86 ],[173.22492458 200.91437496 180.62849055 175.39815351 164.96659177],[7443. 7364. 6970. 6295. 7221.],[8253. 8368. 7974. 7234. 8006.]
37,250,3.0503068761824096e+19,915.2141114559803,0.16901230812072754,186,[7851.132 7916.528 7609.068 6846.656 7641.912],[179.97851698 194.36948633 175.4980324  173.15764397 169.22200878],[7436. 7389. 6970. 6295. 7141.],[8318. 8368. 7974. 7234. 8006.]
