gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.433287354165937e+19,615.3523347403413,0.04400444030761719,26,[6548.66  6745.072 7169.16  6741.152 6819.444],[334.0286341  348.87108624 317.39484306 324.70966862 382.817344  ],[4876. 5034. 5790. 5011. 5318.],[7454. 7416. 7829. 7639. 7502.]
1,250,2.433287354165937e+19,500.1178114943716,0.1790142059326172,13,[6725.42  6935.976 7329.024 6904.12  7024.804],[235.72881792 238.78979757 223.54068852 196.62862864 251.09624765],[5899. 6036. 6811. 6305. 6255.],[7454. 7501. 7887. 7639. 7554.]
2,250,2.433287354165937e+19,619.0847998849796,0.18805456161499023,31,[6800.728 7025.808 7410.82  6969.428 7145.124],[243.46854831 223.98698876 225.60646179 190.62844703 218.18050468],[5899. 6468. 6839. 6375. 6255.],[7454. 7524. 8020. 7639. 7680.]
3,250,2.433287354165937e+19,618.2944683366354,0.1720142364501953,46,[6876.764 7082.552 7467.748 7004.192 7213.588],[248.20010537 226.52722418 216.46656207 201.94162309 222.54506567],[6172. 6468. 6839. 6434. 6441.],[7454. 7563. 8020. 7639. 7730.]
4,250,2.433287354165937e+19,674.2907946817583,0.20799660682678223,42,[6940.556 7150.028 7546.692 7062.704 7283.52 ],[243.97414384 226.38210887 213.79902043 212.48840059 209.89877942],[6237. 6531. 6839. 6327. 6636.],[7491. 7705. 8020. 7645. 7874.]
5,250,2.433287354165937e+19,612.5307849719962,0.22501516342163086,53,[7004.284 7187.412 7604.484 7113.752 7343.708],[234.9064055  226.78644196 212.49149099 206.90493106 208.10566243],[6322. 6531. 6839. 6327. 6645.],[7533. 7705. 8108. 7645. 7874.]
6,250,2.433287354165937e+19,591.6430084285938,0.19001436233520508,40,[7056.9   7253.552 7650.148 7150.796 7400.244],[226.15734788 211.93357284 222.64755578 221.9580014  212.17711579],[6397. 6566. 6839. 6327. 6594.],[7533. 7705. 8185. 7654. 7874.]
7,250,2.433287354165937e+19,602.5611919031692,0.17601299285888672,54,[7097.948 7306.984 7701.84  7188.128 7460.7  ],[230.15807024 218.09805076 194.56182154 229.50170286 204.65538351],[6431. 6665. 7107. 6349. 6875.],[7611. 7932. 8202. 7654. 7997.]
8,250,2.433287354165937e+19,575.257766555628,0.17501235008239746,35,[7149.944 7357.66  7733.904 7241.5   7493.12 ],[225.93630267 222.11143239 195.82075167 222.11766701 220.29751156],[6463. 6665. 7193. 6349. 6938.],[7676. 7932. 8202. 7925. 7997.]
9,250,2.433287354165937e+19,576.6571455542082,0.170013427734375,44,[7206.964 7407.9   7781.844 7291.696 7537.748],[219.8625996  215.2570417  202.85374945 209.20203532 225.40671795],[6588. 6665. 7200. 6735. 6876.],[7676. 7932. 8345. 7925. 8018.]
10,250,3.243718298799708e+19,552.9379810990689,0.16857361793518066,47,[7261.44  7437.972 7816.64  7339.764 7576.848],[205.3276562  204.78660898 201.15585599 210.36051983 222.79054041],[6713. 6665. 7200. 6846. 6938.],[7700. 7932. 8345. 7925. 8185.]
11,250,3.243718298799708e+19,567.5911323520562,0.1760413646697998,59,[7283.052 7469.556 7847.776 7373.936 7614.724],[215.04414732 204.26421827 196.32686475 209.85515935 222.41873982],[6713. 6849. 7283. 6846. 6917.],[7881. 8063. 8345. 7925. 8185.]
12,250,3.243718298799708e+19,600.439435296165,0.17403292655944824,70,[7329.392 7501.912 7885.4   7414.044 7647.104],[214.01670574 206.81537722 206.10494414 200.78305223 227.0020026 ],[6713. 6849. 7283. 6859. 6917.],[7889. 8063. 8434. 7925. 8185.]
13,250,3.243718298799708e+19,599.5338216768017,0.18002986907958984,82,[7370.748 7528.364 7927.82  7452.752 7700.972],[214.35787948 207.46573573 203.14641912 197.85199139 218.35842831],[6840. 7024. 7311. 6842. 6917.],[7928. 8063. 8434. 7925. 8277.]
14,250,3.243718298799708e+19,607.2655773541543,0.20001816749572754,85,[7400.64  7555.872 7966.292 7472.136 7719.476],[209.36839876 208.39047871 199.44510707 200.74512573 211.59936064],[6839. 7044. 7311. 6842. 6938.],[7928. 8063. 8434. 8017. 8277.]
15,250,3.243718298799708e+19,562.6814451645512,0.1740131378173828,78,[7450.196 7585.872 7985.588 7495.176 7746.82 ],[209.72793229 205.62867411 200.38315861 201.57091314 207.9330171 ],[6839. 7046. 7276. 6842. 6938.],[7928. 8140. 8434. 8017. 8277.]
16,250,3.243718298799708e+19,575.6816752235371,0.17403388023376465,85,[7480.308 7605.824 8002.432 7516.688 7776.852],[211.1530183  208.93132131 214.26623947 203.64305698 198.22390899],[6839. 7046. 7276. 6842. 7168.],[7928. 8140. 8468. 8017. 8277.]
17,250,3.243718298799708e+19,575.9817649095323,0.17101454734802246,95,[7516.468 7648.424 8005.844 7551.516 7799.284],[208.98457593 198.48986932 227.0854017  189.59124912 209.15878022],[6881. 7046. 7276. 6842. 7168.],[8072. 8270. 8468. 8017. 8277.]
18,250,3.243718298799708e+19,591.5883568122266,0.1860342025756836,97,[7546.6   7675.788 8043.78  7563.8   7846.228],[205.53954364 204.2361747  224.54527294 196.91130998 191.4576925 ],[6998. 7046. 7276. 6989. 7230.],[8072. 8270. 8494. 8018. 8316.]
19,250,3.243718298799708e+19,582.1799814203766,0.20801591873168945,87,[7568.612 7712.316 8084.32  7598.268 7873.88 ],[197.0232003  202.66630737 227.34435907 196.72349167 192.84138975],[7000. 7089. 7276. 6989. 7283.],[8072. 8270. 8494. 8174. 8330.]
20,250,3.867883433114171e+19,605.6642193482838,0.18203210830688477,91,[7563.044 7747.684 8107.784 7627.432 7898.376],[205.01366312 198.85486201 221.10727112 198.06559867 200.38836948],[6986. 7089. 7334. 6989. 7283.],[8230. 8270. 8494. 8174. 8330.]
21,250,3.867883433114171e+19,588.46582642386,0.16701173782348633,98,[7572.628 7778.08  8105.6   7651.26  7933.98 ],[202.48459106 190.66710676 229.08859422 199.90111656 203.92646616],[6986. 7165. 7334. 6989. 7287.],[8230. 8270. 8576. 8174. 8400.]
22,250,3.867883433114171e+19,599.1220389849805,0.17614293098449707,113,[7613.916 7779.424 8123.328 7663.928 7944.628],[208.51639011 201.0449806  224.14112611 209.20404111 213.12745862],[6986. 7165. 7334. 6989. 7287.],[8230. 8305. 8578. 8206. 8400.]
23,250,3.867883433114171e+19,591.5579404330829,0.20101475715637207,126,[7640.16  7798.704 8135.772 7680.2   7992.604],[200.23693565 199.82544479 229.73149548 211.20215908 202.14988297],[7072. 7173. 7334. 6989. 7424.],[8230. 8305. 8683. 8206. 8427.]
24,250,3.867883433114171e+19,595.5641558687604,0.185014009475708,140,[7646.136 7827.932 8157.868 7695.888 8009.052],[208.72068777 192.55303523 224.81119762 201.19736444 200.75820605],[7013. 7173. 7364. 7279. 7424.],[8230. 8305. 8683. 8206. 8427.]
25,250,3.867883433114171e+19,590.2780399488964,0.18060827255249023,139,[7648.412 7838.616 8188.564 7728.172 8025.64 ],[213.55250936 194.59209785 202.72690474 196.50742077 206.6005576 ],[7009. 7173. 7433. 7137. 7424.],[8230. 8305. 8683. 8206. 8459.]
26,250,3.867883433114171e+19,585.3263059422852,0.18455886840820312,128,[7666.128 7875.548 8206.696 7740.104 8041.368],[216.51167085 186.22261865 201.67804934 190.88286771 211.21430012],[7013. 7173. 7433. 7168. 7424.],[8230. 8305. 8683. 8206. 8459.]
27,250,3.867883433114171e+19,607.8943782869023,0.17802977561950684,116,[7686.584 7879.48  8230.432 7768.796 8065.3  ],[208.42967865 190.33627505 195.7873269  183.01329565 205.06873482],[7013. 7173. 7546. 7168. 7424.],[8230. 8305. 8683. 8206. 8483.]
