gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,1.958658356649259e+19,700.0353290151494,0.06800389289855957,20,[6808.032 6404.8   6621.312 6424.24  6144.94 ],[348.55269756 297.40028245 305.5140433  301.32001327 306.1154168 ],[5287. 5103. 5652. 5332. 4999.],[7587. 7056. 7363. 7223. 6977.]
1,250,1.958658356649259e+19,710.5378970818124,0.23903560638427734,24,[7004.74  6564.544 6785.032 6577.648 6305.496],[257.39092525 204.80326185 230.44372627 228.56788072 231.97427871],[6154. 6016. 6202. 5815. 5666.],[7725. 7154. 7363. 7223. 6977.]
2,250,1.958658356649259e+19,730.4295169465496,0.21401453018188477,32,[7113.428 6638.068 6890.828 6661.98  6384.256],[259.46726348 225.68110106 218.09494817 223.9533246  231.44989623],[6224. 6016. 6218. 5815. 5692.],[7734. 7268. 7608. 7317. 6977.]
3,250,1.958658356649259e+19,743.1978275137346,0.17101621627807617,47,[7219.536 6718.228 6952.572 6743.704 6466.408],[255.09087146 223.12669051 227.55420632 215.44023854 234.6867562 ],[6224. 6010. 6149. 5991. 5692.],[8133. 7307. 7671. 7317. 7052.]
4,250,1.958658356649259e+19,708.617707445703,0.2550044059753418,50,[7283.7   6789.512 7012.172 6812.64  6536.18 ],[250.15809801 227.09774516 229.57914194 230.11066555 234.20342354],[6589. 6010. 6348. 6198. 5870.],[8133. 7454. 7671. 7369. 7104.]
5,250,1.958658356649259e+19,757.9796333765281,0.16902995109558105,53,[7345.448 6835.576 7079.6   6858.908 6600.012],[249.83989933 231.92092666 220.63094978 225.0468652  226.48008269],[6589. 6010. 6462. 6198. 6109.],[8133. 7454. 7671. 7369. 7190.]
6,250,1.958658356649259e+19,741.9244569461415,0.1960158348083496,52,[7397.556 6889.936 7119.452 6899.616 6667.54 ],[261.73505471 240.21283043 213.21784094 220.94029181 224.17272002],[6589. 6167. 6574. 6251. 6143.],[8133. 7454. 7671. 7370. 7190.]
7,250,1.958658356649259e+19,721.2635998082767,0.21399545669555664,58,[7447.948 6918.428 7166.332 6964.192 6719.096],[264.41009303 259.53203428 205.91735667 207.21931169 227.73380685],[6589. 6167. 6574. 6452. 6143.],[8207. 7610. 7671. 7428. 7273.]
8,250,1.958658356649259e+19,692.5820240742044,0.17595481872558594,56,[7515.028 6979.828 7174.276 7006.008 6769.784],[269.78504632 264.53472819 206.44098388 204.74708285 231.81154705],[6589. 6167. 6660. 6494. 6185.],[8296. 7629. 7689. 7543. 7615.]
9,250,1.958658356649259e+19,700.3173447529927,0.18200397491455078,68,[7573.84  7039.948 7198.992 7031.992 6812.248],[277.84113158 273.89842149 213.86859502 216.21533696 234.80223699],[6589. 6167. 6660. 6329. 6185.],[8349. 7674. 7689. 7564. 7615.]
10,250,2.8339835534832214e+19,740.2700421469087,0.19503498077392578,44,[7617.556 7078.7   7238.916 7077.676 6860.676],[281.22715172 282.27474914 218.03362343 226.9423782  237.62236221],[6919. 6167. 6660. 6329. 6187.],[8445. 7692. 7763. 7564. 7626.]
11,250,2.8339835534832214e+19,704.6862631020742,0.23701786994934082,54,[7675.756 7144.86  7260.924 7133.996 6902.48 ],[265.23300033 262.84486755 219.97890404 224.427476   238.88077696],[6949. 6167. 6699. 6522. 6199.],[8445. 7692. 7763. 7834. 7626.]
12,250,2.8339835534832214e+19,687.8948074908973,0.15700960159301758,58,[7718.952 7190.456 7303.288 7188.42  6949.396],[264.78621886 250.15604743 203.09890462 225.62213455 243.64795748],[6949. 6391. 6699. 6522. 6199.],[8445. 7692. 7785. 7834. 7626.]
13,250,2.8339835534832214e+19,687.727912197386,0.16601324081420898,69,[7753.536 7241.476 7330.812 7234.484 6996.188],[267.90680601 245.15867805 202.06450618 225.89571431 237.44520348],[6991. 6443. 6699. 6729. 6199.],[8445. 7893. 7791. 7834. 7626.]
14,250,2.8339835534832214e+19,674.8333590638016,0.15766215324401855,89,[7797.136 7292.52  7350.724 7278.784 7029.304],[250.60061753 233.97148886 202.88714061 220.53743751 222.8494101 ],[7009. 6518. 6699. 6751. 6294.],[8445. 7893. 7807. 7834. 7626.]
15,250,2.8339835534832214e+19,692.6978778053018,0.15999412536621094,94,[7844.612 7337.348 7365.96  7340.084 7054.672],[253.50040129 229.06520228 203.12545483 221.16369717 210.75685615],[7009. 6710. 6758. 6782. 6408.],[8445. 7893. 7856. 7834. 7626.]
16,250,2.8339835534832214e+19,714.0329075330959,0.20502161979675293,119,[7883.468 7385.184 7396.272 7401.448 7071.664],[234.05705496 217.66362614 194.75863528 219.6749947  213.85048773],[7009. 6710. 6758. 6782. 6542.],[8445. 7893. 7856. 7876. 7626.]
17,250,2.8339835534832214e+19,695.4262016563905,0.22501611709594727,127,[7927.2   7440.44  7421.236 7439.384 7095.616],[227.38863648 206.16249513 191.14180156 209.17371858 216.32532109],[7009. 6800. 6900. 6788. 6542.],[8445. 7974. 7856. 7879. 7626.]
18,250,2.8339835534832214e+19,729.7996502829367,0.24702239036560059,117,[7947.42  7473.352 7436.288 7468.08  7116.624],[241.45862503 218.98360691 188.74462391 207.1188876  220.16703346],[7009. 6800. 6948. 6788. 6469.],[8446. 7974. 7967. 8027. 7626.]
19,250,2.8339835534832214e+19,742.0279467741046,0.1590113639831543,113,[7971.672 7491.552 7438.448 7493.172 7134.936],[239.4619728  224.03003213 193.0313117  203.11115778 219.59906171],[7009. 6800. 6948. 6788. 6542.],[8476. 7974. 7967. 8027. 7626.]
20,250,3.2581082456022426e+19,712.7790742247624,0.16938233375549316,91,[7980.064 7515.744 7457.848 7510.912 7151.66 ],[235.83851234 224.10208045 199.06172132 212.34899636 214.7256864 ],[7298. 6800. 6971. 6788. 6525.],[8547. 7974. 7967. 8027. 7626.]
21,250,3.2581082456022426e+19,694.8897620382465,0.2230358123779297,112,[7991.4   7509.068 7484.032 7536.544 7178.408],[234.88283036 219.29455847 200.49556348 215.511559   223.7093327 ],[7300. 6800. 7021. 6788. 6525.],[8547. 7974. 7967. 8027. 7674.]
22,250,3.2581082456022426e+19,712.5405666559017,0.2600364685058594,104,[8004.236 7529.176 7502.216 7554.972 7190.74 ],[240.48410406 222.88951753 202.54574136 215.49452711 217.55457338],[7292. 6800. 7021. 6788. 6675.],[8547. 7974. 7967. 8027. 7674.]
23,250,3.2581082456022426e+19,711.3790094257604,0.19301342964172363,117,[8037.652 7555.5   7515.672 7576.848 7199.988],[225.50069378 212.6404336  203.85144693 209.40387985 210.57632311],[7300. 6800. 7021. 6788. 6714.],[8547. 7974. 7967. 8041. 7674.]
24,250,3.2581082456022426e+19,711.0892744125409,0.26001954078674316,120,[8053.508 7570.132 7533.9   7594.88  7221.076],[226.87383705 213.15258989 196.77821526 203.85446181 208.10733342],[7300. 6800. 7021. 6788. 6709.],[8547. 7974. 7967. 8041. 7696.]
25,250,3.2581082456022426e+19,793.3854065847736,0.16701793670654297,81,[8068.62  7603.556 7551.88  7615.116 7211.324],[227.41138846 213.38383928 195.18451168 202.47800509 207.17925336],[7408. 6842. 7021. 6972. 6709.],[8547. 8029. 7967. 8041. 7710.]
26,250,3.2581082456022426e+19,798.4568781083647,0.21901297569274902,88,[8080.328 7618.276 7557.936 7635.168 7204.292],[233.32083579 216.32373847 198.94774164 200.98808864 212.25985663],[7408. 6842. 7021. 6972. 6603.],[8547. 8029. 8021. 8041. 7710.]
27,250,3.2581082456022426e+19,788.4956017882411,0.23001956939697266,57,[8105.848 7634.664 7562.416 7653.84  7222.352],[233.08616625 210.38359039 195.85295235 199.17569731 217.00664528],[7408. 6842. 7021. 6972. 6603.],[8547. 8029. 8021. 8061. 7766.]
28,250,3.2581082456022426e+19,786.1304688989313,0.19201445579528809,65,[8114.668 7645.404 7575.644 7682.528 7223.048],[226.8393744  207.12790441 191.35304874 188.35585793 221.85986049],[7478. 6842. 7021. 7155. 6603.],[8547. 8029. 8021. 8127. 7766.]
29,250,3.2581082456022426e+19,776.5272910573174,0.24001526832580566,77,[8129.816 7674.928 7588.264 7694.792 7235.248],[213.41753945 190.10707198 186.25187866 179.94996176 222.63946302],[7511. 7145. 7021. 7155. 6603.],[8547. 8029. 8021. 8241. 7781.]
30,250,3.4934315604981182e+19,762.3692415846912,0.19501471519470215,89,[8122.604 7668.608 7605.2   7720.1   7250.156],[218.40309335 201.49036289 187.58496741 182.4090842  228.16996223],[7511. 7145. 7021. 7155. 6603.],[8547. 8073. 8021. 8241. 7781.]
31,250,3.4934315604981182e+19,736.0724758154576,0.22602128982543945,98,[8142.232 7697.932 7613.984 7734.736 7250.288],[208.56282069 197.90953331 186.50057304 180.09689143 227.73127378],[7511. 7161. 7021. 7155. 6693.],[8547. 8194. 8021. 8241. 7781.]
32,250,3.4934315604981182e+19,717.3566490700507,0.19701457023620605,101,[8147.06  7712.928 7629.604 7742.028 7255.452],[209.48435837 195.35953219 184.67246461 175.63984518 229.51487903],[7548. 7161. 7066. 7155. 6693.],[8790. 8194. 8030. 8241. 7781.]
33,250,3.4934315604981182e+19,718.2662445755136,0.2330155372619629,113,[8158.716 7725.876 7629.2   7740.14  7276.056],[203.05139089 193.45499896 184.07943937 177.10399318 228.47857857],[7548. 7258. 7066. 7232. 6736.],[8790. 8194. 8043. 8241. 7781.]
34,250,3.4934315604981182e+19,716.4145200247671,0.263019323348999,129,[8173.656 7738.572 7641.724 7749.84  7306.356],[201.77239074 188.48373091 184.00347775 177.37151519 212.69380166],[7548. 7258. 7066. 7232. 6791.],[8790. 8194. 8066. 8241. 7781.]
35,250,3.4934315604981182e+19,700.8739359476594,0.2990226745605469,123,[8180.46  7750.864 7667.756 7770.328 7332.776],[197.46143016 186.1581626  173.74848622 174.32373452 194.92225585],[7548. 7258. 7168. 7296. 6867.],[8790. 8194. 8132. 8241. 7781.]
36,250,3.4934315604981182e+19,707.0069455237029,0.21401500701904297,136,[8195.364 7757.488 7686.568 7784.352 7342.396],[191.66011454 187.27684816 179.9681899  174.50777661 190.77146323],[7548. 7258. 7168. 7267. 6867.],[8790. 8194. 8132. 8241. 7781.]
37,250,3.4934315604981182e+19,729.2780456046224,0.2863497734069824,123,[8216.144 7766.916 7694.432 7794.288 7347.396],[187.08285668 194.68899544 183.22221857 170.28147596 204.47998236],[7712. 7258. 7168. 7389. 6808.],[8790. 8194. 8132. 8241. 7783.]
38,250,3.4934315604981182e+19,746.0519098131042,0.2050151824951172,137,[8232.12  7778.264 7690.952 7803.176 7338.508],[185.36966742 199.44894661 188.42805974 172.58459092 212.20090937],[7712. 7258. 7168. 7389. 6808.],[8790. 8194. 8132. 8241. 7783.]
39,250,3.4934315604981182e+19,758.2733507830133,0.23601531982421875,159,[8253.192 7800.988 7703.984 7827.236 7333.136],[178.65435661 190.6221914  181.63215504 169.96864506 208.65707154],[7792. 7258. 7217. 7376. 6891.],[8790. 8194. 8132. 8241. 7783.]
40,250,3.693239432175624e+19,759.9588171380279,0.25201940536499023,163,[8256.788 7814.26  7705.476 7840.344 7335.148],[181.93741522 184.27325471 176.9058773  174.5314919  207.02596479],[7792. 7275. 7217. 7376. 6891.],[8790. 8194. 8132. 8241. 7783.]
41,250,3.693239432175624e+19,753.2594437090986,0.22802376747131348,180,[8271.348 7824.236 7700.96  7850.816 7342.62 ],[180.59287609 180.61316758 172.81707786 176.15910463 209.85630226],[7837. 7275. 7217. 7376. 6891.],[8790. 8194. 8132. 8241. 7783.]
42,250,3.693239432175624e+19,744.8590937494304,0.23784470558166504,181,[8272.996 7840.836 7713.928 7867.208 7348.716],[182.11325043 176.39458354 172.93472415 175.71578397 211.18616277],[7837. 7275. 7217. 7394. 6891.],[8790. 8195. 8132. 8258. 7783.]
43,250,3.693239432175624e+19,769.9354817452797,0.19801568984985352,187,[8291.644 7846.208 7718.548 7878.868 7343.7  ],[182.75539189 176.6917676  176.31939115 176.77265223 208.27305635],[7837. 7275. 7217. 7327. 6891.],[8790. 8233. 8132. 8258. 7827.]
44,250,3.693239432175624e+19,783.7765066205665,0.3110220432281494,190,[8300.192 7851.028 7724.18  7886.876 7340.72 ],[183.44183584 177.46437168 176.07158658 179.46807132 207.12070297],[7837. 7275. 7217. 7327. 6891.],[8790. 8233. 8132. 8304. 7827.]
45,250,3.693239432175624e+19,797.3354393860001,0.2360227108001709,157,[8316.252 7851.792 7733.076 7904.396 7352.62 ],[185.33063561 173.85586195 177.4293725  171.72228505 201.72370114],[7837. 7275. 7217. 7327. 6879.],[8790. 8233. 8132. 8304. 7845.]
46,250,3.693239432175624e+19,791.6137871323306,0.33702564239501953,176,[8328.    7851.084 7744.648 7922.668 7355.   ],[179.65495818 165.57967552 175.65424019 165.13368456 200.06319002],[7857. 7275. 7217. 7432. 6879.],[8790. 8233. 8132. 8349. 7845.]
