gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.4255641430977294e+19,663.0767401794511,0.04000282287597656,28,[6629.664 6859.372 6618.872 6950.528 7172.044],[285.2284963  336.30323462 328.84787914 357.35056348 341.2475847 ],[5571. 5665. 5347. 5719. 5949.],[7386. 7472. 7281. 7735. 7902.]
1,250,2.4255641430977294e+19,631.6184441181751,0.17501354217529297,40,[6774.344 7046.98  6777.552 7138.668 7346.512],[209.83693113 214.50492675 227.27584847 231.39287322 217.31290311],[6122. 6382. 6075. 6561. 6729.],[7386. 7736. 7281. 7735. 7902.]
2,250,2.4255641430977294e+19,630.2708676695738,0.164015531539917,42,[6858.968 7137.5   6868.068 7226.012 7436.504],[214.88566024 210.77484195 220.63038634 231.21068283 212.05120604],[6237. 6557. 6301. 6582. 6893.],[7670. 7736. 7471. 7877. 8049.]
3,250,2.4255641430977294e+19,652.1596015473693,0.20906805992126465,51,[6932.136 7204.452 6936.896 7299.448 7480.144],[221.82947844 213.73967272 211.71387575 228.87089657 209.59727876],[6305. 6583. 6301. 6642. 6951.],[7670. 7736. 7471. 7877. 8049.]
4,250,2.4255641430977294e+19,644.5204108360466,0.1650838851928711,65,[6988.452 7256.7   6978.252 7332.312 7523.94 ],[217.21832265 224.34001426 215.61904484 237.6158889  228.64375872],[6305. 6583. 6301. 6642. 6657.],[7670. 7877. 7535. 7877. 8143.]
5,250,2.4255641430977294e+19,690.8907377386342,0.17701220512390137,69,[7031.88  7295.36  7024.364 7386.14  7583.284],[221.53058841 239.34343191 208.18785628 225.54646617 214.60023146],[6305. 6600. 6423. 6709. 7003.],[7670. 7993. 7535. 7973. 8143.]
6,250,2.4255641430977294e+19,694.5456578934406,0.2054741382598877,46,[7080.616 7358.296 7079.204 7408.572 7629.624],[224.73685177 231.85050439 205.62642433 233.52724213 220.97544349],[6305. 6672. 6538. 6827. 7018.],[7670. 7993. 7535. 7973. 8143.]
7,250,2.4255641430977294e+19,671.9469906918592,0.18905115127563477,51,[7126.216 7405.52  7119.088 7438.804 7659.844],[214.61558504 232.16191247 201.32731622 239.32193711 222.38515163],[6489. 6672. 6538. 6827. 7018.],[7670. 7999. 7593. 7973. 8143.]
8,250,2.4255641430977294e+19,684.2549161099299,0.19501471519470215,61,[7153.436 7448.768 7141.024 7473.648 7701.892],[222.91863517 233.56676599 211.51816807 232.89899119 209.54768511],[6489. 6672. 6538. 6873. 7051.],[7670. 7999. 7637. 8078. 8143.]
9,250,2.4255641430977294e+19,671.1073644771591,0.17103195190429688,61,[7183.952 7474.508 7158.076 7508.824 7723.92 ],[228.42832945 234.08559532 219.53780136 228.96896083 219.78063973],[6489. 6672. 6514. 6873. 7051.],[7696. 7999. 7637. 8148. 8352.]
10,250,3.1509970015213375e+19,649.5748622738203,0.194260835647583,79,[7207.828 7505.26  7177.492 7547.5   7750.54 ],[232.39376587 238.03198188 224.62915647 234.29737088 214.65991801],[6489. 6672. 6514. 6873. 7061.],[7696. 7999. 7648. 8148. 8352.]
11,250,3.1509970015213375e+19,627.3407216854421,0.1920156478881836,82,[7254.864 7555.148 7217.988 7568.836 7795.856],[235.3690156  228.92707593 213.7276675  235.10542551 213.30941673],[6489. 6672. 6614. 6873. 7061.],[7790. 8044. 7648. 8148. 8352.]
12,250,3.1509970015213375e+19,618.6213929572732,0.20405840873718262,74,[7291.64  7586.284 7251.836 7616.444 7810.628],[231.54670889 220.60468568 208.79883406 225.75668066 216.55626894],[6489. 6753. 6628. 7015. 7138.],[7790. 8056. 7684. 8148. 8352.]
13,250,3.1509970015213375e+19,628.6903334175172,0.18303227424621582,82,[7313.26  7617.812 7276.012 7638.212 7844.048],[222.02825136 203.27242965 205.45838473 231.23774574 212.79285161],[6685. 7004. 6628. 7009. 7138.],[7894. 8056. 7684. 8209. 8352.]
14,250,3.1509970015213375e+19,619.1548835691679,0.16601085662841797,79,[7356.288 7667.6   7313.476 7656.716 7867.844],[207.18632449 203.57046937 199.39049482 250.75971635 211.63802036],[6731. 7078. 6672. 6970. 7138.],[7894. 8085. 7855. 8298. 8352.]
15,250,3.1509970015213375e+19,615.651202884322,0.17003202438354492,101,[7383.456 7701.388 7332.532 7701.896 7899.296],[196.38651701 189.65833875 195.07754606 244.96838405 201.0882204 ],[6731. 7078. 6672. 7009. 7138.],[7894. 8235. 7855. 8298. 8352.]
16,250,3.1509970015213375e+19,666.730447421064,0.17701363563537598,39,[7401.352 7720.808 7350.732 7739.896 7918.84 ],[199.33478396 203.09659558 198.10044971 238.10687765 205.70395815],[6731. 7078. 6695. 7009. 7138.],[7894. 8235. 7855. 8298. 8468.]
17,250,3.1509970015213375e+19,670.7574493404179,0.22600007057189941,45,[7433.072 7746.388 7370.748 7763.112 7952.228],[195.48778687 215.67665951 189.87519189 234.01156265 190.81922339],[6888. 7078. 6731. 7009. 7253.],[7980. 8280. 7855. 8298. 8468.]
18,250,3.1509970015213375e+19,637.9615699552286,0.16901254653930664,48,[7452.336 7769.952 7389.924 7777.156 7975.892],[199.89360946 224.74078779 191.85348114 240.8699144  200.23204623],[6888. 7005. 6875. 7009. 7253.],[7980. 8280. 7904. 8366. 8468.]
19,250,3.1509970015213375e+19,660.0659943292761,0.17101263999938965,58,[7463.4   7804.6   7404.368 7807.168 7986.904],[199.34516799 222.98930916 192.25225246 232.52644533 192.39163907],[6888. 7005. 6878. 7009. 7446.],[7980. 8290. 7904. 8366. 8468.]
20,250,3.6452030861057225e+19,678.7508227061827,0.1930084228515625,73,[7472.964 7810.924 7413.752 7840.012 7996.4  ],[206.61626921 221.81418851 191.68163839 239.43977083 193.58014361],[6956. 7092. 6888. 7009. 7446.],[7980. 8290. 7904. 8366. 8468.]
21,250,3.6452030861057225e+19,678.9329646395973,0.17705082893371582,90,[7492.668 7821.16  7436.052 7842.352 8022.86 ],[203.6194828  224.43200841 191.25095894 243.64332147 193.3346539 ],[6956. 7218. 6888. 7009. 7446.],[7980. 8290. 7904. 8407. 8728.]
22,250,3.6452030861057225e+19,715.2713696194837,0.1881260871887207,87,[7492.304 7847.38  7436.576 7873.98  8040.236],[215.2969939  228.78502486 190.29374195 240.64309589 193.81540781],[6956. 7218. 6923. 7009. 7446.],[7980. 8298. 7904. 8407. 8728.]
23,250,3.6452030861057225e+19,717.7977874054358,0.16106486320495605,102,[7476.556 7873.808 7453.64  7905.476 8063.968],[216.31206823 230.81955536 194.96914217 230.29822714 190.24785669],[6956. 7259. 6946. 7009. 7446.],[7980. 8298. 7904. 8407. 8728.]
24,250,3.6452030861057225e+19,710.8486017932303,0.19104242324829102,120,[7494.552 7898.404 7461.784 7922.368 8087.424],[210.35086711 231.97246557 192.574332   225.49456884 188.96629388],[6956. 7259. 6946. 7009. 7565.],[8133. 8298. 7936. 8407. 8728.]
25,250,3.6452030861057225e+19,696.3690804605137,0.26558494567871094,124,[7501.7   7922.608 7476.42  7951.276 8092.324],[212.51168909 228.64861761 193.0144751  226.97961103 191.00111786],[6956. 7259. 6946. 7009. 7565.],[8133. 8351. 7936. 8438. 8728.]
26,250,3.6452030861057225e+19,695.7548496501497,0.19303393363952637,109,[7530.984 7922.7   7483.756 7962.7   8121.976],[208.49485304 231.51536018 193.44096894 229.05823277 195.38794084],[7031. 7259. 6946. 7009. 7565.],[8133. 8515. 7936. 8481. 8728.]
27,250,3.6452030861057225e+19,693.8494999557313,0.16703581809997559,129,[7544.604 7943.648 7500.128 7970.492 8141.936],[196.67912747 227.0646518  191.58077048 222.62577105 192.39188108],[7031. 7259. 6946. 7212. 7565.],[8133. 8515. 7936. 8481. 8728.]
28,250,3.6452030861057225e+19,695.946477766646,0.19101285934448242,118,[7551.588 7955.292 7507.956 7978.596 8145.352],[211.96985223 232.84798203 197.02670394 231.08348445 192.87103488],[6902. 7259. 6946. 7212. 7565.],[8133. 8526. 7936. 8481. 8728.]
29,250,3.6452030861057225e+19,689.2380772430664,0.16001248359680176,117,[7559.684 7970.588 7525.356 7990.568 8152.552],[207.35148937 237.95924495 202.79884927 235.41384279 202.56813001],[7041. 7299. 6946. 7212. 7565.],[8133. 8526. 7980. 8481. 8728.]
30,250,4.021480616442264e+19,698.0366142290355,0.1920166015625,133,[7572.    7983.472 7542.16  8021.32  8167.012],[194.61383301 229.03303084 193.61501595 218.99717258 188.97378616],[7020. 7299. 6946. 7372. 7662.],[8133. 8526. 8014. 8481. 8728.]
31,250,4.021480616442264e+19,712.9993847352472,0.20952343940734863,122,[7582.144 7997.944 7550.06  8030.404 8183.26 ],[199.48570692 232.40076778 192.34167619 223.66793419 185.48108367],[7020. 7299. 7074. 7372. 7662.],[8133. 8540. 8014. 8490. 8728.]
32,250,4.021480616442264e+19,718.3414120350491,0.19201183319091797,133,[7587.612 8022.512 7559.656 8064.104 8197.896],[201.67325419 230.53217098 189.42642282 224.2463404  175.13820024],[7020. 7299. 7065. 7372. 7662.],[8133. 8540. 8014. 8603. 8728.]
33,250,4.021480616442264e+19,717.3279316851084,0.17101240158081055,156,[7594.116 8041.872 7560.996 8080.124 8200.444],[198.66703437 230.41038088 197.15548175 222.21648144 175.59534978],[7020. 7299. 7065. 7372. 7662.],[8133. 8540. 8049. 8603. 8728.]
