gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,1.9585461242512577e+19,700.0353290151494,0.0390012264251709,20,[6808.032 6404.8   6621.312 6424.24  6144.94 ],[348.55269756 297.40028245 305.5140433  301.32001327 306.1154168 ],[5287. 5103. 5652. 5332. 4999.],[7587. 7056. 7363. 7223. 6977.]
1,250,1.9585461242512577e+19,727.9173859471751,0.18003010749816895,34,[6981.3   6549.092 6784.024 6593.772 6316.52 ],[250.16083227 212.88626902 237.25361836 232.28110559 241.14744369],[6154. 5939. 6150. 5975. 5666.],[7587. 7056. 7491. 7223. 6977.]
2,250,1.9585461242512577e+19,699.3292414756545,0.1720125675201416,56,[7093.44  6626.992 6881.948 6687.796 6402.112],[238.28347488 226.066061   212.22723976 223.22819352 247.49534835],[6401. 5939. 6218. 6017. 5760.],[7763. 7187. 7491. 7312. 6977.]
3,250,1.9585461242512577e+19,690.1643665797434,0.19301462173461914,31,[7182.768 6698.752 6955.58  6772.392 6500.828],[257.0449186  225.96802096 200.30471687 230.48236014 234.35379753],[6542. 5939. 6391. 6211. 5856.],[7915. 7303. 7544. 7388. 7035.]
4,250,1.9585461242512577e+19,666.1878678801336,0.16701006889343262,35,[7241.472 6741.068 7017.524 6847.804 6579.296],[268.93276709 251.64301575 202.13651185 223.94455917 233.6608833 ],[6542. 5939. 6186. 6244. 5856.],[8003. 7303. 7544. 7447. 7115.]
5,250,1.9585461242512577e+19,657.3304284978602,0.16801071166992188,54,[7324.68  6818.86  7067.408 6910.616 6673.296],[252.13566507 251.6626639  196.68259083 228.32024121 246.25625755],[6571. 5939. 6186. 6275. 5856.],[8003. 7373. 7647. 7603. 7244.]
6,250,1.9585461242512577e+19,650.4737245428805,0.1690659523010254,78,[7409.164 6901.328 7099.228 6976.32  6736.376],[239.175486   241.82311803 201.15607874 224.65424456 237.26040256],[6571. 5939. 6425. 6367. 5947.],[8126. 7528. 7647. 7603. 7244.]
7,250,1.9585461242512577e+19,649.2618391071308,0.16606712341308594,80,[7456.488 6952.568 7127.216 7027.34  6794.376],[236.81365217 246.39574139 198.16613571 230.59292357 225.27166405],[6571. 5939. 6641. 6367. 5996.],[8126. 7528. 7647. 7668. 7244.]
8,250,1.9585461242512577e+19,676.8462122741765,0.2070152759552002,49,[7509.556 6984.328 7151.268 7097.232 6849.14 ],[240.28662648 253.76303201 216.47748191 224.91709178 221.51626667],[6571. 5939. 6641. 6431. 6175.],[8126. 7621. 7753. 7668. 7305.]
9,250,1.9585461242512577e+19,672.5453084268145,0.18801474571228027,64,[7553.876 7042.984 7172.328 7143.492 6897.076],[229.2699994  236.86093756 221.99691083 231.41796373 206.88783005],[6728. 6366. 6608. 6431. 6306.],[8126. 7621. 7753. 7684. 7305.]
10,250,2.732722233199097e+19,716.5325043573507,0.17901372909545898,58,[7598.424 7088.424 7192.432 7202.632 6943.036],[229.10969474 242.89704038 227.61299914 238.98398393 209.23501309],[6728. 6366. 6608. 6568. 6396.],[8126. 7639. 7753. 7878. 7339.]
11,250,2.732722233199097e+19,647.5960408925525,0.17801308631896973,74,[7612.312 7141.424 7244.4   7248.088 6973.152],[230.73012516 243.22885566 215.87146175 244.72938576 222.30933605],[7005. 6479. 6608. 6568. 6404.],[8174. 7740. 7761. 7937. 7430.]
