gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.5149292851066057e+19,546.8974445794183,0.07700300216674805,17,[6841.5   6781.548 6671.064 6739.416 7097.12 ],[336.05005877 315.8892586  333.70043438 304.49313119 343.46285039],[5679. 5745. 5718. 5779. 5893.],[7547. 7533. 7565. 7555. 7901.]
1,250,2.5149292851066057e+19,524.8654145898332,0.26526427268981934,27,[7034.18  6946.692 6866.344 6906.152 7268.78 ],[239.92684635 224.8423384  241.80304726 219.16392243 229.40171665],[6278. 6321. 6192. 6307. 6426.],[7730. 7533. 7565. 7555. 7901.]
2,250,2.5149292851066057e+19,504.69418349835416,0.2030181884765625,41,[7150.32  7031.656 6980.192 6997.764 7359.232],[228.47582279 226.89472815 227.89387692 225.27383404 222.60316749],[6589. 6374. 6192. 6289. 6694.],[7730. 7581. 7565. 7555. 8062.]
3,250,2.5149292851066057e+19,535.4170569977332,0.23481965065002441,57,[7223.128 7105.004 7054.136 7065.428 7412.036],[239.00667693 215.30606119 233.8558306  222.00518196 229.29783842],[6594. 6539. 6304. 6421. 6740.],[7856. 7788. 7667. 7581. 8062.]
4,250,2.5149292851066057e+19,558.0640025541203,0.23302340507507324,74,[7314.408 7154.252 7139.264 7123.036 7486.628],[231.432689   222.85345072 214.63966619 221.78018555 231.90149981],[6594. 6467. 6304. 6379. 6636.],[7878. 7807. 7686. 7655. 8068.]
5,250,2.5149292851066057e+19,556.1803991719146,0.24698734283447266,55,[7372.152 7212.668 7182.296 7182.56  7563.224],[237.37649609 200.36446236 216.35718704 205.54625368 236.94947526],[6594. 6467. 6304. 6633. 6882.],[7878. 7807. 7714. 7655. 8090.]
6,250,2.5149292851066057e+19,568.1677398271938,0.19501471519470215,56,[7428.164 7225.156 7236.72  7209.88  7616.272],[230.51254435 208.93670732 211.40458273 214.41457413 245.10325582],[6738. 6467. 6304. 6633. 6967.],[7878. 7807. 7759. 7655. 8138.]
7,250,2.5149292851066057e+19,603.162123231924,0.18301701545715332,56,[7470.568 7257.916 7277.524 7275.044 7686.916],[242.12384719 220.86405987 220.79955033 221.66185523 242.75005447],[6738. 6467. 6304. 6633. 6989.],[8093. 7807. 7778. 7828. 8138.]
8,250,2.5149292851066057e+19,553.1862377521054,0.1870133876800537,40,[7529.92  7287.872 7335.14  7322.092 7736.964],[236.02762889 208.35133697 223.6585621  209.32880245 228.13759599],[6738. 6467. 6304. 6701. 7113.],[8148. 7807. 7902. 7851. 8249.]
9,250,2.5149292851066057e+19,564.0518857173123,0.20602655410766602,58,[7573.7   7317.484 7375.144 7371.132 7762.164],[236.56845521 219.24658662 233.88305467 214.4155838  236.39294639],[6726. 6694. 6082. 6810. 6989.],[8184. 7861. 7987. 7916. 8279.]
