gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
20,250,4.059536634515985e+19,531.8933820245902,0.15701031684875488,50,[8067.152 7632.804 7781.524 7739.692 8047.864],[219.61672271 208.13867873 223.84332338 220.55648967 215.1488357 ],[7400. 7037. 7173. 7142. 7448.],[8548. 8131. 8330. 8305. 8589.]
21,250,4.059536634515985e+19,562.1986632213793,0.17230987548828125,68,[8078.876 7640.676 7819.056 7748.368 8071.52 ],[229.74919505 212.00076185 227.72552967 223.12398476 212.66479163],[7400. 7037. 7219. 7181. 7448.],[8548. 8236. 8330. 8305. 8589.]
22,250,4.059536634515985e+19,560.3557411788589,0.16902637481689453,85,[8112.612 7670.096 7836.4   7767.712 8087.312],[225.36318567 194.25129802 217.81257999 215.45703297 205.54720785],[7400. 7164. 7252. 7181. 7450.],[8637. 8236. 8330. 8305. 8589.]
23,250,4.059536634515985e+19,567.0244010824401,0.1980137825012207,105,[8118.08  7676.052 7859.136 7785.576 8097.824],[232.48608044 206.01518705 227.31102372 222.42096175 201.19819339],[7330. 7164. 7252. 7181. 7521.],[8637. 8236. 8372. 8305. 8589.]
24,250,4.059536634515985e+19,558.8285399530455,0.19001412391662598,113,[8153.176 7687.48  7882.284 7798.788 8126.932],[218.53992089 199.70500645 227.35968716 214.70308581 204.25711096],[7330. 7164. 7303. 7181. 7521.],[8637. 8236. 8406. 8305. 8589.]
25,250,4.059536634515985e+19,583.9658769851288,0.18401288986206055,100,[8169.46  7698.896 7902.976 7811.636 8146.872],[211.33382219 203.42579282 223.46471628 216.91033978 203.4101463 ],[7330. 7164. 7312. 7191. 7625.],[8637. 8293. 8406. 8305. 8606.]
26,250,4.059536634515985e+19,591.106771280053,0.23001790046691895,105,[8185.904 7715.396 7904.98  7840.376 8167.684],[198.80247178 196.07486117 225.36795602 202.96175656 201.4938216 ],[7631. 7164. 7312. 7191. 7639.],[8637. 8293. 8406. 8305. 8606.]
27,250,4.059536634515985e+19,596.7130018994492,0.16400933265686035,87,[8205.94  7732.792 7924.916 7837.664 8196.504],[191.07745131 201.66882936 220.59876007 212.78244078 199.42549983],[7631. 7164. 7312. 7191. 7639.],[8637. 8293. 8492. 8305. 8643.]
28,250,4.059536634515985e+19,590.7424855615334,0.21201443672180176,106,[8226.62  7734.82  7953.568 7841.908 8216.972],[199.14743182 208.64590962 212.90632066 221.64027508 191.6137866 ],[7631. 7164. 7312. 7191. 7639.],[8661. 8293. 8492. 8305. 8643.]
29,250,4.059536634515985e+19,575.9421398210372,0.1790156364440918,107,[8236.792 7754.944 7980.172 7856.932 8231.648],[198.21452201 207.43445438 213.80731142 230.92873224 192.78268619],[7631. 7200. 7312. 7191. 7639.],[8682. 8293. 8492. 8305. 8643.]
30,250,4.357288460938212e+19,569.1452551483336,0.17601251602172852,125,[8261.608 7777.748 7989.648 7883.184 8246.288],[186.2674162  207.01471565 206.5020777  220.91382515 193.21597516],[7642. 7200. 7442. 7315. 7704.],[8682. 8293. 8532. 8328. 8646.]
31,250,4.357288460938212e+19,549.6166361311357,0.21101951599121094,141,[8279.62  7793.94  8004.968 7910.8   8250.5  ],[174.71964858 197.99133415 204.23846596 213.04345097 187.36106853],[7808. 7301. 7442. 7315. 7731.],[8682. 8293. 8532. 8328. 8667.]
32,250,4.357288460938212e+19,548.5602083311592,0.17801332473754883,165,[8281.908 7807.616 8023.46  7919.372 8253.252],[177.67384595 200.64991538 201.10242266 212.21191676 191.06205405],[7808. 7301. 7442. 7315. 7598.],[8682. 8293. 8532. 8328. 8667.]
33,250,4.357288460938212e+19,548.4410515097911,0.15701651573181152,182,[8284.1   7814.932 8045.34  7931.332 8254.524],[181.19914459 192.08387589 198.20740753 211.14979937 191.84546235],[7808. 7354. 7442. 7315. 7446.],[8682. 8293. 8539. 8328. 8699.]
34,250,4.357288460938212e+19,543.4545875050723,0.21501445770263672,192,[8302.948 7817.14  8052.268 7940.496 8263.06 ],[181.25001875 198.11742074 200.07453655 211.79477327 187.49658237],[7808. 7273. 7442. 7315. 7751.],[8743. 8293. 8539. 8328. 8699.]
35,250,4.357288460938212e+19,547.9591610382737,0.16243362426757812,201,[8320.952 7822.72  8070.932 7958.388 8266.096],[180.13825162 193.32160148 186.82256656 195.9857685  187.20125743],[7754. 7273. 7519. 7315. 7751.],[8743. 8293. 8539. 8328. 8699.]
36,250,4.357288460938212e+19,533.4696828249021,0.1790146827697754,195,[8327.064 7842.932 8065.896 7972.024 8273.824],[181.18031875 188.45589239 181.66594943 194.3409978  187.52258804],[7754. 7273. 7519. 7408. 7751.],[8743. 8293. 8539. 8328. 8699.]
37,250,4.357288460938212e+19,532.9980755422743,0.16319036483764648,213,[8325.124 7846.428 8071.932 7987.992 8281.288],[184.45169727 192.30086015 184.36431156 188.2217839  197.21715203],[7754. 7273. 7519. 7408. 7751.],[8786. 8293. 8539. 8328. 8739.]
38,250,4.357288460938212e+19,523.9925260358262,0.18901300430297852,223,[8337.396 7855.984 8072.024 7996.284 8293.072],[182.92166406 191.99126997 187.04446376 189.54350251 191.46135593],[7754. 7273. 7519. 7408. 7751.],[8786. 8293. 8539. 8342. 8739.]
39,250,4.357288460938212e+19,525.6721202013347,0.20441532135009766,229,[8341.668 7865.456 8082.632 8003.76  8292.444],[180.39817564 189.35498954 191.14654215 181.53917043 193.83167663],[7754. 7359. 7519. 7439. 7751.],[8786. 8293. 8539. 8342. 8739.]
40,250,4.476933542466484e+19,516.7278470794089,0.17501258850097656,243,[8345.952 7876.604 8083.684 8024.484 8290.256],[173.87921583 190.41041774 188.19517567 171.4397671  192.98561206],[7754. 7359. 7519. 7492. 7751.],[8786. 8293. 8539. 8342. 8739.]
41,250,4.476933542466484e+19,517.4956965851281,0.18701457977294922,236,[8342.796 7878.212 8090.304 8029.96  8297.284],[176.05831529 193.66651506 192.16081698 178.26730042 195.81153016],[7754. 7321. 7519. 7417. 7751.],[8786. 8293. 8539. 8425. 8739.]
42,250,4.476933542466484e+19,511.37886927859495,0.1700124740600586,226,[8353.6   7891.488 8101.832 8016.972 8313.052],[170.19388943 184.56873477 191.3195959  176.69051818 196.92998069],[7754. 7321. 7519. 7417. 7751.],[8786. 8293. 8544. 8425. 8739.]
43,250,4.476933542466484e+19,513.3040950277099,0.19704222679138184,231,[8356.596 7894.86  8113.364 8018.476 8316.976],[172.66958268 181.3482848  194.56531938 174.98804937 190.66351361],[7754. 7359. 7519. 7492. 7751.],[8786. 8293. 8544. 8425. 8739.]
44,250,4.476933542466484e+19,515.2212350187355,0.17501354217529297,237,[8356.628 7897.612 8114.04  8029.796 8323.416],[174.54824438 177.6129203  193.76703125 177.69786263 188.78208322],[7754. 7359. 7519. 7548. 7751.],[8786. 8293. 8544. 8501. 8739.]
45,250,4.476933542466484e+19,508.591054281689,0.16951847076416016,231,[8361.088 7906.02  8128.692 8026.98  8317.752],[174.23790706 182.23015008 191.0516295  179.78247857 191.08911663],[7754. 7359. 7519. 7548. 7751.],[8786. 8293. 8544. 8501. 8739.]
