gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,1.9527804796433723e+19,643.3992235709023,0.04000258445739746,30,[6884.308 6425.94  6574.668 6377.06  6368.036],[342.99696374 269.4801373  296.45973382 270.84132698 281.48549288],[5801. 5682. 5626. 5530. 5573.],[7687. 7151. 7304. 7014. 7071.]
1,250,1.9527804796433723e+19,673.2852671631927,0.21701478958129883,51,[7072.76  6584.28  6711.576 6508.032 6497.148],[245.81828736 194.23913509 257.20095689 214.75952825 217.7824559 ],[6424. 6099. 5959. 5870. 5996.],[7761. 7151. 7366. 7071. 7155.]
2,250,1.9527804796433723e+19,682.2230904346327,0.18201375007629395,65,[7182.216 6653.084 6796.064 6581.56  6572.076],[230.87782341 208.79786623 264.97968961 210.48648033 207.04860836],[6557. 5987. 5976. 5962. 5960.],[7761. 7166. 7493. 7082. 7155.]
3,250,1.9527804796433723e+19,721.0895448758462,0.20722508430480957,59,[7244.716 6723.64  6874.756 6641.956 6631.352],[252.67592553 209.53427977 240.06011011 222.32729491 211.97666875],[6581. 5987. 5976. 5962. 5982.],[7864. 7200. 7493. 7092. 7155.]
4,250,1.9527804796433723e+19,703.7505777367898,0.18801474571228027,62,[7311.488 6776.532 6935.016 6714.02  6678.548],[245.70016251 223.82189566 242.71876677 208.599721   217.05492322],[6581. 6162. 6224. 6117. 6017.],[7864. 7250. 7538. 7223. 7257.]
5,250,1.9527804796433723e+19,715.4641503188337,0.18801474571228027,68,[7375.276 6819.004 7007.78  6764.208 6700.644],[242.59652063 229.66804737 223.43323746 203.17510855 216.80392354],[6709. 6162. 6371. 6185. 6219.],[7864. 7250. 7538. 7273. 7379.]
6,250,1.9527804796433723e+19,710.0413765193844,0.21201562881469727,75,[7425.004 6859.056 7044.788 6793.496 6744.268],[253.52652718 234.72389922 219.90455897 208.22100274 219.31966664],[6726. 6162. 6371. 6185. 6168.],[7973. 7572. 7600. 7273. 7462.]
7,250,1.9527804796433723e+19,718.5720674288106,0.16701340675354004,88,[7493.484 6908.648 7083.948 6833.26  6786.012],[238.83165984 211.07864908 230.15535904 207.11832464 212.17110985],[6844. 6380. 6371. 6185. 6168.],[8021. 7572. 7600. 7273. 7462.]
8,250,1.9527804796433723e+19,759.6770197149903,0.18701481819152832,90,[7530.752 6933.14  7109.472 6864.66  6827.308],[246.09855444 224.00496512 243.47379575 213.5917049  221.69441386],[6840. 6242. 6477. 6290. 6168.],[8174. 7572. 7668. 7355. 7462.]
9,250,1.9527804796433723e+19,737.9229678817267,0.1705186367034912,87,[7568.108 6963.376 7162.616 6910.304 6879.252],[236.88599861 226.90024818 260.24140436 200.16408165 217.43985949],[6762. 6093. 6477. 6277. 6187.],[8174. 7572. 7807. 7375. 7462.]
10,250,2.6096337089924567e+19,739.5825905997582,0.17501354217529297,73,[7613.532 6993.28  7208.16  6927.432 6918.4  ],[231.19584982 236.60894658 256.01957425 213.98102106 209.02084107],[6762. 6093. 6514. 6277. 6187.],[8174. 7572. 7807. 7375. 7462.]
11,250,2.6096337089924567e+19,747.9297919833089,0.19720792770385742,80,[7649.488 7036.812 7260.98  6948.42  6939.34 ],[236.15969566 227.09305726 257.3262746  217.9202322  214.88542156],[6969. 6242. 6557. 6268. 6283.],[8181. 7572. 8051. 7591. 7492.]
12,250,2.6096337089924567e+19,773.9035357498664,0.1720120906829834,108,[7697.648 7077.78  7296.636 6984.34  6983.112],[225.36714067 215.80959108 260.23123468 225.66981278 211.2244954 ],[7005. 6335. 6557. 6268. 6387.],[8352. 7572. 8051. 7603. 7492.]
