gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.4331645864512946e+19,615.3523347403413,0.05700421333312988,26,[6548.66  6745.072 7169.16  6741.152 6819.444],[334.0286341  348.87108624 317.39484306 324.70966862 382.817344  ],[4876. 5034. 5790. 5011. 5318.],[7454. 7416. 7829. 7639. 7502.]
1,250,2.4331645864512946e+19,602.5717706071339,0.26201915740966797,42,[6706.804 6935.84  7332.788 6890.584 7025.64 ],[249.45235534 224.21972795 216.20171844 232.97384176 248.3303896 ],[5899. 6375. 6693. 6210. 6255.],[7454. 7416. 7887. 7639. 7509.]
2,250,2.4331645864512946e+19,601.9362913491997,0.20101499557495117,49,[6807.1   7018.284 7401.976 6953.808 7115.648],[241.15164109 225.09593365 210.9717503  212.34730781 230.09209481],[5899. 6468. 6832. 6400. 6255.],[7454. 7768. 7932. 7639. 7568.]
3,250,2.4331645864512946e+19,599.7104498658542,0.19101405143737793,59,[6869.348 7091.804 7458.352 6999.616 7187.576],[253.94166829 226.99869071 222.8190748  214.912067   213.4486454 ],[5919. 6389. 6831. 6434. 6460.],[7454. 7768. 7940. 7639. 7863.]
4,250,2.4331645864512946e+19,585.2085065514939,0.18601441383361816,73,[6944.68  7149.96  7515.28  7072.036 7273.716],[234.40863807 209.17999522 231.1309447  216.44234961 196.50997772],[6391. 6389. 6814. 6507. 6690.],[7510. 7768. 8184. 7639. 7863.]
5,250,2.4331645864512946e+19,607.6716375352615,0.2090141773223877,33,[7025.744 7204.848 7563.028 7129.904 7332.252],[242.2680137  209.57175596 227.74033287 217.37388708 209.30382819],[6391. 6568. 6832. 6539. 6806.],[7681. 7768. 8184. 7639. 7863.]
6,250,2.4331645864512946e+19,567.597582044596,0.19101715087890625,39,[7090.012 7246.796 7600.632 7187.196 7389.98 ],[242.96540465 210.48037054 231.91974598 218.87820719 216.49096886],[6390. 6713. 6832. 6539. 6611.],[7681. 7768. 8187. 7672. 7888.]
7,250,2.4331645864512946e+19,542.0119437356306,0.16401124000549316,49,[7155.336 7286.156 7652.364 7236.316 7451.248],[241.79994852 206.30211745 223.65192488 213.64960132 216.21743338],[6390. 6713. 6905. 6614. 6777.],[7869. 7768. 8187. 7712. 8115.]
8,250,2.4331645864512946e+19,580.4583832352068,0.2310175895690918,24,[7215.36  7344.732 7713.624 7281.216 7495.888],[241.08320224 196.46189497 222.16419744 202.78911545 224.02750603],[6390. 6807. 7000. 6682. 6777.],[7869. 7768. 8187. 7809. 8115.]
9,250,2.4331645864512946e+19,575.4213708566957,0.20901203155517578,35,[7277.916 7394.12  7753.076 7334.64  7544.936],[218.41720844 202.92852338 223.4520222  184.97352892 216.08438144],[6766. 6807. 7000. 6894. 6777.],[7869. 8025. 8187. 7809. 8115.]
10,250,3.253062737618573e+19,544.000930302724,0.18001198768615723,46,[7324.456 7428.176 7798.912 7363.764 7603.4  ],[216.72559624 215.69011341 217.13477901 187.61845406 203.93169445],[6766. 6807. 7000. 6782. 6998.],[7869. 8025. 8192. 7876. 8115.]
11,250,3.253062737618573e+19,564.7774334876963,0.21701717376708984,57,[7378.728 7478.044 7833.432 7393.532 7664.096],[208.5890266  203.57717471 226.30944606 183.98191481 197.39687633],[6766. 6926. 7175. 6919. 7122.],[7983. 8025. 8334. 7920. 8142.]
12,250,3.253062737618573e+19,575.3348579011176,0.18601393699645996,55,[7418.048 7524.68  7866.268 7424.796 7706.464],[203.44413901 192.57217244 218.98800921 197.51873426 198.21473382],[6765. 6987. 7229. 6919. 7122.],[7983. 8025. 8470. 7920. 8231.]
13,250,3.253062737618573e+19,525.6421866454526,0.17602968215942383,55,[7459.2   7544.884 7888.296 7456.248 7720.076],[207.6714328  197.34041285 222.70003229 206.00726807 216.38962596],[6765. 6987. 7274. 6864. 7122.],[7983. 8025. 8470. 7920. 8231.]
14,250,3.253062737618573e+19,519.1918401604685,0.2920064926147461,69,[7503.164 7587.252 7933.432 7489.46  7766.94 ],[194.07367958 188.80221528 213.60272792 221.43396397 204.33198575],[7036. 7162. 7274. 6864. 7181.],[8011. 8025. 8470. 7977. 8320.]
15,250,3.253062737618573e+19,507.50063426591834,0.20801305770874023,77,[7553.448 7629.244 7952.404 7535.248 7801.316],[203.01461843 181.17167677 217.17642778 218.74968913 193.8792824 ],[7016. 7121. 7274. 6919. 7181.],[8024. 8025. 8470. 8123. 8320.]
16,250,3.253062737618573e+19,504.54880884624487,0.19501471519470215,102,[7577.08  7661.976 7968.5   7567.596 7828.916],[202.25331048 175.1399424  209.51134098 213.71719815 182.4724553 ],[7016. 7121. 7424. 6977. 7371.],[8024. 8025. 8470. 8123. 8320.]
