gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.251741525182374e+19,699.3220576872626,0.039002418518066406,18,[6656.688 6605.264 7148.436 6376.772 6726.216],[354.28038424 307.63500825 338.58039799 331.73691989 347.0047166 ],[5473. 5317. 5926. 5020. 5101.],[7450. 7270. 7840. 7192. 7468.]
1,250,2.251741525182374e+19,713.3699225951294,0.1660289764404297,31,[6842.996 6776.264 7345.076 6557.704 6911.592],[237.72834073 221.26064789 224.67284265 224.04978104 214.07427107],[6095. 6170. 6718. 5877. 6128.],[7450. 7271. 7982. 7192. 7468.]
2,250,2.251741525182374e+19,684.2718273642421,0.1760694980621338,38,[6937.18  6859.552 7464.992 6659.244 7005.9  ],[219.51232221 218.88203055 221.25887086 221.38301756 203.27678175],[6420. 6220. 6895. 5928. 6519.],[7517. 7460. 8016. 7192. 7468.]
3,250,2.251741525182374e+19,763.4815383662823,0.20601725578308105,30,[7002.4   6929.184 7552.048 6745.768 7061.668],[222.68052452 232.34386186 224.81168496 211.01699025 219.19957522],[6435. 6220. 6951. 6255. 6546.],[7637. 7576. 8090. 7400. 7656.]
4,250,2.251741525182374e+19,715.9157365646643,0.15601181983947754,39,[7077.264 7011.216 7621.224 6806.38  7115.84 ],[222.76373651 205.37630181 224.62928977 215.08587029 219.95490083],[6493. 6488. 6951. 6098. 6311.],[7740. 7576. 8109. 7400. 7656.]
5,250,2.251741525182374e+19,739.9192314356981,0.15300893783569336,53,[7157.7   7067.712 7690.084 6865.884 7164.472],[225.75780385 208.51639038 216.26693909 222.59255725 230.30371516],[6534. 6488. 7034. 6098. 6311.],[7850. 7576. 8180. 7433. 7656.]
6,250,2.251741525182374e+19,766.5190952108213,0.20507359504699707,41,[7225.024 7110.656 7763.968 6920.564 7235.572],[216.52188671 209.29824095 210.92081684 209.05156757 212.00020004],[6694. 6482. 7076. 6276. 6587.],[7850. 7594. 8356. 7440. 7790.]
7,250,2.251741525182374e+19,787.6231482285339,0.16901111602783203,42,[7284.444 7154.332 7823.12  6973.74  7293.752],[225.30512392 216.06217109 221.67638034 210.89800473 214.83000371],[6694. 6482. 7279. 6353. 6587.],[7850. 7709. 8374. 7450. 7790.]
8,250,2.251741525182374e+19,761.9249389647546,0.1850137710571289,46,[7336.092 7203.708 7872.572 6997.844 7319.3  ],[223.54737202 202.56976758 216.54467626 220.95053669 224.62885389],[6703. 6687. 7337. 6353. 6587.],[7850. 7709. 8374. 7504. 7902.]
9,250,2.251741525182374e+19,786.5138977962708,0.15201020240783691,55,[7387.564 7241.372 7916.108 7019.812 7345.504],[225.82677854 203.50949269 221.61202209 235.81211304 229.04124079],[6809. 6691. 7156. 6353. 6587.],[7852. 7709. 8576. 7504. 7902.]
10,250,3.120393455875142e+19,810.812867961001,0.1910114288330078,60,[7441.956 7267.468 7971.184 7064.776 7392.972],[224.70179809 204.75333691 212.51610326 223.96322427 225.81818177],[6812. 6691. 7337. 6389. 6731.],[7879. 7808. 8576. 7631. 7902.]
11,250,3.120393455875142e+19,810.4885423745031,0.17601418495178223,76,[7497.592 7292.768 8012.492 7088.764 7446.392],[208.06124468 215.85925548 209.02208959 216.61120078 217.76823996],[6862. 6669. 7337. 6389. 6731.],[7954. 7927. 8576. 7631. 7916.]
12,250,3.120393455875142e+19,773.0162982103406,0.15300989151000977,89,[7537.028 7330.396 8058.56  7127.572 7491.548],[196.63245718 210.54232635 207.29883357 220.39280573 192.45030448],[6967. 6637. 7453. 6389. 6731.],[7996. 7927. 8576. 7631. 7983.]
13,250,3.120393455875142e+19,772.487945944607,0.18901443481445312,65,[7570.236 7359.296 8087.228 7173.168 7522.868],[194.6974173  203.16895527 207.89083678 214.73957198 191.97677614],[7037. 6783. 7453. 6567. 6971.],[8069. 7927. 8576. 7631. 8028.]
14,250,3.120393455875142e+19,769.4487073894151,0.1830141544342041,71,[7597.34  7393.66  8095.22  7214.552 7554.092],[195.16764179 195.47525777 205.71503494 204.00648837 193.59736449],[7065. 6876. 7453. 6540. 7141.],[8186. 7927. 8576. 7631. 8046.]
15,250,3.120393455875142e+19,777.5471822159365,0.15401124954223633,76,[7625.648 7422.02  8131.072 7242.632 7591.144],[191.09299332 191.15588299 202.3167685  195.23594079 198.9267887 ],[7065. 6919. 7453. 6724. 7141.],[8186. 7927. 8576. 7631. 8174.]
16,250,3.120393455875142e+19,760.0800560902111,0.1780109405517578,80,[7663.432 7442.972 8149.096 7253.948 7624.052],[196.60322829 192.8730443  201.67010384 199.00046557 197.8119746 ],[7208. 6919. 7651. 6731. 7141.],[8186. 7927. 8737. 7686. 8174.]
17,250,3.120393455875142e+19,746.8120894491849,0.20101428031921387,90,[7694.44  7473.296 8170.896 7267.392 7664.152],[192.03295134 196.78577282 200.09802894 203.00854745 190.02050651],[7208. 7005. 7652. 6808. 7039.],[8208. 8005. 8737. 7735. 8174.]
18,250,3.120393455875142e+19,754.9266765353087,0.15201091766357422,104,[7708.328 7503.608 8189.736 7287.128 7693.248],[197.02098471 193.65100138 206.53244371 207.37878295 184.66114506],[7208. 6947. 7652. 6808. 7158.],[8208. 8005. 8737. 7790. 8209.]
19,250,3.120393455875142e+19,747.8103584109427,0.20101547241210938,110,[7713.784 7527.664 8208.652 7302.848 7703.556],[201.03631847 190.07848669 205.88564519 211.61743051 178.33314572],[7172. 7054. 7652. 6808. 7158.],[8208. 8005. 8737. 7790. 8209.]
